sentence_id,transcript_id,timestamp,speaker,sentence
95,EN2001a,00:16:06,Speaker D,Like just build an another f wave file essentially.
96,EN2001a,00:16:10,Speaker A,"Yeah, you just concatenate them together."
97,EN2001a,00:16:11,Speaker E,"But yeah, but not but not stored on the hard disk and then loaded in, but loaded in directly from memory."
98,EN2001a,00:16:11,Speaker D,"Yeah, I mean I bet there would be packages"
99,EN2001a,00:16:16,Speaker D,"In memory, yeah. So just like unp there's bound to be like a media wave object or something like that. And just build one in memory."
100,EN2001a,00:16:22,Speaker E,"But it's probably a stream if it exists in Java, it would be probably some binary stream going in of some type. Okay, yeah."
101,EN2001a,00:16:27,Speaker D,"I don't know. I have no idea. But it must have like classes for dealing with files. And if it has classes for concatenating files, you can do it in memory. So"
102,EN2001a,00:16:35,Speaker E,"Okay. Okay, so I mean so that means that there's probably, even if you go on an per utterance level, there's still some merit on within utterances cutting out stuff which clearly isn't relevant at all, and that maybe also for the audio we'd have to do. So let's say we play the whole au phrase, but then in addition to that, we have some information that says minus that part of something. That's okay, that we can do."
103,EN2001a,00:16:56,Speaker D,"Well what I think I might try and build is basically a class that you just feed it a linked list of um different wave-forms, and it will just string them all together with maybe, I don't know, tenth of a second silence in between each one or something like that."
104,EN2001a,00:17:12,Speaker E,"Yeah, maybe even I mean that's sort of that depends on how how advanced we get. If maybe if we realise that there's massive differences in in gain or in something, you can probably just make some simple simple normalization, but that really depends on how much time we have and and how much is necessary. Yeah, if like I d I don't know anything about audio and I have never seen the player. So if you find that the player accepts some n input from memory, and if it's easy to do, then I guess that's that's fairly doable. So but that means in the general structure we're actually quite lucky, so we we have we load into memory for the whole series of meetings just the utterances and rankings for the utterances and some information probably that says, well, the I guess that goes with the utterance, who's speaking."
105,EN2001a,00:17:21,Speaker D,"Normalise it, yeah."
106,EN2001a,00:17:52,Speaker D,"Oh yeah, yeah, we'll need that."
107,EN2001a,00:17:53,Speaker E,Because then we can also do the display about who's speaking.
108,EN2001a,00:17:56,Speaker D,We also really wanna be able to search by who's speaking as well.
109,EN2001a,00:18:03,Speaker E,"But I'm I'm still confused 'cause I thought like that's just what Jonathan said we do c that we can't do, like load a massive document of that size. On the other hand"
110,EN2001a,00:18:12,Speaker D,"It doesn't matter, 'cause all the calculation's done off-line."
111,EN2001a,00:18:20,Speaker E,"The other hand, I mean it shouldn't be like should be like fifty mega-byte in RAM or something, it shouldn't be massive, should it? Actually fifty hundred megabyte is quite big in RAM."
112,EN2001a,00:18:35,Speaker E,"Just thinking, what's the simp so"
113,EN2001a,00:18:40,Speaker E,"We do get an error message with the project if we load everything into the project with all the data they load. So we know that doesn't work. So our hope is essentially that we load less into it. What's this lazy loading thing, somebody explain lazy loading to me."
114,EN2001a,00:18:54,Speaker A,It just means it loads on demand. It only loads when it needs a particular type of file. Like when it's being accessed.
115,EN2001a,00:19:01,Speaker E,"Ah, okay. So that is that only by type of file. Like if if if the same thing is in different files, would it then maybe like, you know, if if utterances are split over three or ten or w hundred different files, is then a chance maybe that it doesn't try to load them all into memory at the same time, but just"
116,EN2001a,00:19:20,Speaker A,"Yeah, I think that's the idea, it just loads the particular ones it needs."
117,EN2001a,00:19:23,Speaker E,"So why does it fail then in the first place? Then it shouldn't ever fail, because then it should never"
118,EN2001a,00:19:27,Speaker A,But if you were doing a search over the whole corpus you'd have to load them all.
119,EN2001a,00:19:29,Speaker E,"Yeah, but yeah, but um it uh it it failed right when you load it, right, the NITE X_M_L_ kit, so that's interesting."
120,EN2001a,00:19:40,Speaker B,"Oops, it does. So I define baseline and what it loads? For example it loads all the utterances and so on, but it doesn't load um the discourse acts and for example not the and what's what else there? Not the summaries. It only loads those on demand."
121,EN2001a,00:20:03,Speaker E,"Let's check that out. Um I'll p I'll probably ask Jonathan about it. So alternatively, if we realise we can't do the whole thing in one go, we can probably just process some sort of meta-data, you know what I mean, like sort of sort of for the whole series"
122,EN2001a,00:20:21,Speaker E,chunks representing the individual meetings or some
123,EN2001a,00:20:27,Speaker E,"Like something that represents the whole series in in a v in a structure very similar to the structure in which we represent individual um meetings, but with data sort of always combined from the whole series. so instead of having an single utterance that we display, it would probably be like that would be representing a whole um topic, a segment in a meeting."
124,EN2001a,00:20:53,Speaker E,And sort of so that wi using the same data st
125,EN2001a,00:20:54,Speaker B,Y you mean that you um basically split up th the big thing into um different summaries. For example that you have a very um top-level um summary and a separate file for for each level.
126,EN2001a,00:21:02,Speaker E,"Well, in a sense"
127,EN2001a,00:21:12,Speaker E,"Uh I'm I'm thinking of in a sense of like creating a virtual a virtual meeting out of the whole meeting series, sort of."
128,EN2001a,00:21:18,Speaker D,That's easy. You just like create a new X_M_L_ document in memory.
129,EN2001a,00:21:21,Speaker E,"Yeah, sort of like off-line create a virtual meeting, which which basically treats the meeting series as if it was a meeting, and treats the individual meetings within the series as if they were segments, and treats the individual segments within meetings as if they were um utterances. You know, so we just sort of we shift it one level up. And in that way we could probably use the same algorithm and just like make vir like one or two ifs that say okay, if you are on a whole document uh a whole series level and that was a double-click, then don't just go into that um segment, but load a new file or something like it, but in general use the same algorithm. That would be an alternative if we can't actually load the whole thing and"
130,EN2001a,00:22:04,Speaker E,"'Cause also like even if we maybe this whole like maybe I'm worrying too much about the whole series in one thing display, because actually I mean probably users wouldn't view that one too often."
131,EN2001a,00:22:16,Speaker D,"I don't think it's really that much of a problem because if it's too big, what we can do is just well all the off-line stuff doesn't really matter. And all we can do is just process a bit at a time. Like for summarisation, say we wanted a hundred utterances in the summary, just look at the meeting, take the top one hundred utterances in each other meeting. If it scores higher than the ones already in the summary so far, just replace them. And then you only have to process one meeting at a time."
132,EN2001a,00:22:43,Speaker E,"Yeah, but I'm I'm still worried. Like for example for the display, if you actually if you want a display uh like for the whole series, the information density levels based on and and the f and the only granularity you have is individual utterances, that means you have to through every single utterance in a series of seventy hours of meetings."
133,EN2001a,00:23:03,Speaker D,"Okay, so maybe we should build a b store a mean measure for the segments and meetings as well?"
134,EN2001a,00:23:09,Speaker E,"Yeah. Yeah, and if you make that structurally very similar to the the le like one level down, like the way how we uh store individual utterances and stuff, then maybe we can more or less use the same code and just make a few ifs and stuff."
135,EN2001a,00:23:25,Speaker E,"Yeah, so so but still so in in general we're having we're having utterances"
136,EN2001a,00:23:31,Speaker E,and they have a score.
137,EN2001a,00:23:35,Speaker E,"And that's as much as we really need. And of cou and they also have a time a time information of course. Hmm? And a and a s and a speaker information, yeah."
138,EN2001a,00:23:42,Speaker D,And speaker. Speaker and um topic segmenting we'll need as well.
139,EN2001a,00:23:50,Speaker E,"Yeah, so an information which topic they're in, yeah. And and probably separate to that an information about the different topics like that"
140,EN2001a,00:24:02,Speaker E,so the skimming can work on that because the skimming just sort of sorts the utterances and puts as many in as it needs
141,EN2001a,00:24:08,Speaker D,"Well yeah, and then it'll f preserve the order when it's displayed the"
142,EN2001a,00:24:14,Speaker E,"Yeah. Yeah, it'll it'll play them in some order in which they were set because otherwise it's gonna be more entertaining. Um"
143,EN2001a,00:24:23,Speaker E,"but that that's enough data for the skimming and the the searching, so what the searching does is the searching leaves the whole framework, goes to the S_Q_L_ database and gets like basically in the end gets just a time marker for where that is, like that utterance that we are concerned with. And then we have to find I'm sure there's some way in in NITE X_M_L_ to just say set position to that time mark. And then it shifts the whole frame and it alerts every single element of the display and the display updates."
144,EN2001a,00:24:26,Speaker D,"Yeah, I think so."
145,EN2001a,00:24:51,Speaker A,"Yeah, we do not want it in to develop a little tree display as well for multiple results."
146,EN2001a,00:24:55,Speaker E,"Yeah, yeah. That we can ju yeah, but so so if if somethi so yeah. So if in that tree display somebody clicks on something"
147,EN2001a,00:24:57,Speaker A,"Yeah, but that'd be quite easy to do."
148,EN2001a,00:25:03,Speaker A,You just need to find the time stamp.
149,EN2001a,00:25:05,Speaker E,"Yeah, and then you sort of feed the time stamp to and the NITE X_M_L_ central manager, and that central manager alerts everything that's there, like alerts the skim like the the audio display, alerts the text display, alerts the visual display and says we have a new time frame and then they all sort of do their update routines with respect to the current level of zoom. So how much do they display, and starting position at where the or maybe the mid-position of it, I don't know, like w if start where the thing was found or if that thing wa was found it's in the middle of the part that we display, that I don't know. But that we can decide about, but a general sort of"
150,EN2001a,00:25:40,Speaker E,"It's the same thing if like whether you play and it moves forward or whether you jump to a position through search, it's essentially for all the window handling, it's the same event. It's only that the event gets triggered by the search routine which sort of push that into NITE X_M_L_ and says please go there now."
151,EN2001a,00:25:57,Speaker D,So we should basically make our own X_M_L_ document in memory
152,EN2001a,00:26:03,Speaker D,that everyone's um
153,EN2001a,00:26:07,Speaker D,"module changes that, rather than the underlying data. And then have that X_M_L_ uh NITE X_M_L_ document tied to the interface."
154,EN2001a,00:26:16,Speaker E,Why do we have to do it in memory? But that stuff's so
155,EN2001a,00:26:19,Speaker D,"Well, you can make it in a file if you want."
156,EN2001a,00:26:22,Speaker E,I mean like the information is coming from off-line.
157,EN2001a,00:26:28,Speaker E,"So we probably we don't even have to change the utterance document, right, because the whole way, like the whole beauty of the NITE X_M_L_ is that it ties together lots of different files. So we can just create an additional X_M_L_ file which for every utterance like the utterances have I_D_s I presume, some references. So we just we tie uh p just a very short X_M_L_ file, which it's the only information it has that has whatever a number for for the um weight, for the information density, and we just tie that to the existing utterances and tie them to the existing speaker changes."
158,EN2001a,00:27:00,Speaker C,But there is no I_D_ for an utterance I think. It's just for individual words. So how do we do that then? We for utterances as well.
159,EN2001a,00:27:07,Speaker B,"N Uh no no, it's f for"
160,EN2001a,00:27:12,Speaker B,"No, you're right. Yeah. It's for"
161,EN2001a,00:27:13,Speaker C,I think it's just for one
162,EN2001a,00:27:18,Speaker C,word. So we have to
163,EN2001a,00:27:18,Speaker A,"Yeah, I think I think those segments for each utterance are split up."
164,EN2001a,00:27:26,Speaker E,Well otherwise we probably have to go over it and like add some integer that we just increment from top to bottom sort of to every utterance as an as an I_D_ some type. Or un or try to understand how NITE X_M_L_ I_D_s work and maybe there's some special route we have to follow when we use these I_D_s. It's alm hmm?
165,EN2001a,00:27:43,Speaker A,"Yeah, I'm pretty sure it's already there. Pretty sure that's already there. The the utterances are numbered."
166,EN2001a,00:27:50,Speaker E,"Yeah, the the girl said the utterances themselves are not numbered at the moment."
167,EN2001a,00:27:54,Speaker C,"Uh I'm not quite sure, I have only seen that the uh the individual words have got an I_D_."
168,EN2001a,00:27:55,Speaker E,Okay. Okay. Okay. Yeah. So I guess that would be solvable if not.
169,EN2001a,00:28:03,Speaker C,Yeah. You always could have a look at the time stamps and then take the ones that uh belong together to form an utterance.
170,EN2001a,00:28:13,Speaker B,"No, I I think we would just take the segments that are already that were Yeah, there's um this segments file. Um you know, the X_M_L_ segments."
171,EN2001a,00:28:18,Speaker C,"Yeah, if they are already, there's it's easy but it would be possible."
172,EN2001a,00:28:23,Speaker C,Uh yeah. Okay.
173,EN2001a,00:28:26,Speaker E,Is that a board marker pen actually?
174,EN2001a,00:28:31,Speaker B,That I don't know.
175,EN2001a,00:28:31,Speaker E,"Oh. That's just so like to make a list of all this stuff, or we probably can somebody can do it on paper."
176,EN2001a,00:28:31,Speaker A,"Yeah, I think so."
177,EN2001a,00:28:39,Speaker E,"All these fancy pens. So what so the stuff we have we have utterances and speakers and weights for utterances. So for for every utterance sort of like the utterance has a speaker and a weight which is coming from outside. Or we just tie it to it. And there is segments, which hmm?"
178,EN2001a,00:29:02,Speaker D,"They are utterances, aren't they? The segments are utterances, aren't they? Yeah."
179,EN2001a,00:29:05,Speaker A,"Ye that's the impression I get, yeah."
180,EN2001a,00:29:07,Speaker E,"Oh, so sorry um. Uh topic s topic segments I meant. Like they are they are a super-unit. So so the utterances are tied to topic segments."
181,EN2001a,00:29:08,Speaker B,"Yeah, that's um"
182,EN2001a,00:29:21,Speaker E,"And if the time stamps are on a word level, then we b somehow have to extract time stamps for utterances where they start."
183,EN2001a,00:29:28,Speaker B,"There there are time stamps um for, well, segments um and for th um segments is for example when when you look at the data, what is displayed in one line."
184,EN2001a,00:29:28,Speaker D,"Well, that's easy."
185,EN2001a,00:29:34,Speaker E,W what segments now?
186,EN2001a,00:29:41,Speaker E,Okay. Is the uh is that the same as utterances that is that the same as utterances that
187,EN2001a,00:29:43,Speaker B,What when when you look at it in the hmm?
188,EN2001a,00:29:49,Speaker D,"Well it's close enough, isn't it? It may not be exact every time, but it's a so sort of size we're looking for."
189,EN2001a,00:29:49,Speaker B,I think so. Isn't
190,EN2001a,00:29:52,Speaker B,Um for ex um I I compared it with what I did for the pause um duration extraction. Um and basically it's uh words that are uttered in a sequence without pauses. But sometimes um however there are um short pauses in it and they're indicated by square brackets pause or something in the data.
191,EN2001a,00:30:12,Speaker E,What so that's Oh. But that's one o one segment or is that two segments then?
192,EN2001a,00:30:20,Speaker B,Um someti uh but uh the annotators decided what was one segment and what wasn't.
193,EN2001a,00:30:26,Speaker E,"Okay. Okay. So but but generally utterances is that which we just called uh sorry, segments is that which we just called utterances now. Like it's it's the sa it's sort of like one person's contribution at a time sort of thingy dingy."
194,EN2001a,00:30:35,Speaker B,I think so.
195,EN2001a,00:30:41,Speaker E,"Okay, so yeah, so we have those, and and then we have some f field somewhere else which has"
196,EN2001a,00:30:51,Speaker E,"Yeah, and and a topic's basically they are just on the I_D_, probably with a start time or something, and and the utterances referenced to those topics I guess. So the topics don't contain any redundant thing of like showing the whole topic again, but they just sort of say a number and where they start and where they finish. And the utterances then say which topic they belong to."
197,EN2001a,00:30:58,Speaker A,"Yeah, I think that's the right one."
198,EN2001a,00:31:10,Speaker B,"Yeah, but um I think for some annotations um an uttera ca utterance can have several um types. For example for the dialogue acts and so on."
199,EN2001a,00:31:24,Speaker E,"Yeah. No. But I was thinking of the topic segmentation now and and f for that there would only be one, right, because it's sort of like it's just a time window."
200,EN2001a,00:31:26,Speaker B,"Okay. Yeah, that should be for"
