sentence_id,turn_id,speaker,timestamp,sentence,selected_label,notes
12,10,Aditya,,That's encouraging.,Discussion,
13,11,Ishita,,Most remaining tickets are feature requests rather than bugs.,Information,
14,12,Aditya,,Excellent.,Discussion,
15,13,Let's prioritize,,Export to PDF.,Action_Item,
16,13,Let's prioritize,,Mobile optimization.,Action_Item,
17,13,Let's prioritize,,Analytics improvements.,Action_Item,
18,13,Let's prioritize,,Meeting concluded after 28 minutes.,Summary,
1,1,Kavya,,Hi everyone.,Information,
2,1,Kavya,,Let's do a quick progress check before tomorrow's mentor meeting.,Information,
3,2,Nikhil,,I've completed the data preprocessing scripts.,Information,
4,3,Arjun,,Nice.,Discussion,
5,3,Arjun,,Any missing values left?,Discussion,
6,4,Nikhil,,Around 2%.,Information,
7,4,Nikhil,,I'm handling them using median imputation.,Information,
8,5,Pooja,,I've started exploratory data analysis.,Information,
9,5,Pooja,,Some interesting correlations showed up.,Information,
10,6,Kavya,,Great.,Discussion,
11,6,Kavya,,Can you prepare visualizations as well?,Action_Item,
12,7,Pooja,,"Yes, by this evening.",Action_Item,
13,8,Arjun,,I worked on the model pipeline yesterday.,Information,
14,8,Arjun,,Random Forest is giving around 88% accuracy.,Information,
15,9,Kavya,,Did you compare it with XGBoost?,Discussion,
16,10,Arjun,,Not yet.,Information,
17,11,Kavya,,Please do that before tomorrow.,Action_Item,
18,12,Nikhil,,Should we also prepare a presentation?,Discussion,
19,13,Kavya,,Definitely.,Decision,
20,13,Kavya,,Our mentor prefers concise slides.,Information,
21,14,Pooja,,I'll take care of the design.,Action_Item,
22,15,Arjun,,I'll prepare the results section.,Action_Item,
23,16,Kavya,,Perfect.,Summary,
24,16,Kavya,,Let's review everything tomorrow morning before the meeting.,Summary,
