sentence_id,turn_id,speaker,timestamp,sentence,selected_label,notes,transcript_id
24,18.0,Aarav,36295.0,Any issues?,Discussion,,
25,19.0,Ananya,36302.0,Nothing major.,Information,,
26,19.0,Ananya,36302.0,We noticed a small formatting issue in exported PDF reports.,Information,,
27,20.0,Priya,36328.0,I can fix that today.,Action_Item,,
29,22.0,Priya,36365.0,The dashboard redesign is almost complete.,Information,,
30,22.0,Priya,36365.0,I added a cleaner transcript viewer and improved the navigation menu.,Information,,
31,23.0,Rahul,36400.0,I saw the latest build yesterday.,Information,,
32,23.0,Rahul,36400.0,It definitely feels much smoother.,Discussion,,
33,24.0,Aarav,36425.0,Can we deploy the UI changes before Friday?,Discussion,,
34,25.0,Priya,36440.0,"Yes, provided no new bugs are found.",Decision,,
35,26.0,Ananya,36462.0,I'll finish regression testing by Thursday evening.,Action_Item,,
37,28.0,Rahul,36510.0,I also think we should optimize transcript loading because larger meetings take several seconds to open.,Discussion,,
38,29.0,Neha,36538.0,That's true.,Discussion,,
39,29.0,Neha,36538.0,We can implement lazy loading for transcript sections.,Discussion,,
40,30.0,Priya,36560.0,That should also improve scrolling performance.,Discussion,,
41,31.0,Aarav,36585.0,Let's include that in this sprint.,Decision,,
42,32.0,Aarav,36615.0,Any updates regarding multilingual support?,Discussion,,
43,33.0,Neha,36635.0,We've started testing English-Hindi mixed conversations.,Information,,
44,34.0,Rahul,36658.0,"Initial results look promising, although speaker separation still struggles when multiple people interrupt each other.",Information,,
45,35.0,Ananya,36700.0,I'll include those cases in the next testing cycle.,Action_Item,,
46,36.0,Aarav,36730.0,Good.,Discussion,,
47,37.0,Priya,36745.0,Can we also add a dark mode option in the next release?,Discussion,,
48,38.0,Rahul,36768.0,I'd recommend postponing it until after the performance improvements.,Discussion,,
50,39.0,Neha,36795.0,Performance should be our priority.,Discussion,,
51,40.0,Aarav,36815.0,Alright.,Decision,,
52,40.0,Aarav,36815.0,We'll move dark mode to the next sprint.,Decision,,
53,41.0,Aarav,36860.0,Let's assign responsibilities.,Decision,,
54,42.0,Rahul,36875.0,I'll optimize the transcript loading performance.,Action_Item,,
55,43.0,Priya,36898.0,I'll fix the PDF formatting issue and complete the dashboard redesign.,Action_Item,,
56,44.0,Neha,36928.0,I'll continue testing transcript chunking and multilingual summarization.,Action_Item,,
57,45.0,Ananya,36955.0,I'll complete regression testing and prepare the QA report.,Action_Item,,
59,47.0,Aarav,37000.0,Let's target Friday evening for code freeze.,Decision,,
60,48.0,Rahul,37018.0,That works for me.,Decision,,
61,49.0,Priya,37028.0,Same here.,Decision,,
62,50.0,Neha,37035.0,No issues from my side.,Information,,
63,51.0,Ananya,37045.0,Works for QA as well.,Decision,,
64,52.0,Aarav,37070.0,"Before we close, does anyone have any additional concerns?",Discussion,,
65,53.0,Rahul,37090.0,Nothing from my side.,Information,,
66,54.0,Priya,37098.0,All good.,Information,,
67,55.0,Neha,37105.0,No additional updates.,Information,,
68,56.0,Ananya,37120.0,Everything is covered.,Information,,
70,57.0,Aarav,37145.0,"Thanks, everyone.",Summary,,
71,57.0,Aarav,37145.0,We'll meet again next Monday to review the sprint outcomes.,Action_Item,,
72,58.0,Rahul,37165.0,Thank you.,Summary,,
74,60.0,Neha,37176.0,See you next week.,Summary,,
75,61.0,Ananya,37185.0,Bye.,Summary,,
47437,,Speaker D,00:18:28,"Well, t we won't support teletext which which was the third-most the second-most used function.",Information,,TS3011b
42041,,Speaker B,00:40:38,"Oh yeah, it's not connected to the",Discussion,,TS3007b
13926,,Speaker A,00:10:36,"Oh, have you been home yet? They'll be like, say something British, and you're like oh shut up family.",Information,,ES2009a
36313,,Speaker D,00:04:54,I can see it now.,Discussion,,TS3004a
18795,,Speaker D,00:40:06,"Yeah. Well, we were finding out various things in",Discussion,,ES2014d
47248,,Speaker B,00:19:07,They're very vu vulnerable.,Discussion,,TS3011a
23189,,Speaker D,00:36:38,"Okay, me I put two to American Beauty",Discussion,,IB4011
21167,,Speaker C,00:07:13,"Yes, I'm doing a P_H_D_. Yes. Officially. .",Discussion,,IB4002
39857,,Speaker A,00:16:19,we can go ahead with what we have. I will summarise the things we discussed and put it in the project folder.,Discussion,,TS3006a
26793,,Speaker B,00:03:22,"So I see all everybody's here, 'kay.",Discussion,,IS1000b
9047,,Speaker B,00:00:10,Are we we're not allowed to dim the lights so people can see that a bit better?,Information,,ES2004a
45507,,Speaker B,00:20:27,Well this is a terrible,Information,,TS3009c
36616,,Speaker B,00:14:59,I dunno. I don't have I did,Discussion,,TS3004b
14271,,Speaker B,00:15:47,I know. It's fun.,Discussion,,ES2009c
16802,,Speaker A,00:28:28,Oh no that well there's the sim my my idea was something a b probably you know a bit fatter than this but sort of tha that sorta shape so that you can just sort of ho hold it.,Information,,ES2012c
16065,,Speaker A,00:26:11,"talk about? Oh when we move on, you two are going to be playing with play-dough.",Action_Item,,ES2011c
27484,,Speaker A,00:23:32,Give it a one? Yep.,Discussion,,IS1000d
13608,,Speaker B,00:22:50,"Well, are we talking about on each colour combination or are we, you know, we'll like we'll have yellow and black. Is that two special colours?",Information,,ES2008d
3685,,Speaker A,00:19:36,I mean I think the Informatics are definitely worth asking. th there's there's C_S_T_R_ and H_C_R_C_.,Discussion,,EN2003a
15022,,Speaker C,00:27:22,And then add a,Discussion,,ES2010b
12255,,Speaker D,00:25:59,"But if it's a R_R_, it would be Real Reaction, like if it had a symbol on it.",Action_Item,,ES2007b
41750,,Speaker A,00:21:39,"But we have to keep an eye that it's at the beginning of such a project, it's it's it's very cool to talk about, well, this would be cool, that would be cool. but we must not lose sight of the the user friendly",Action_Item,,TS3007a
18327,,Speaker A,00:26:53,"Was that in the sort of fashion sense that this Or was the spongy feel was that sort of fashion? It was, wasn't it? So the",Information,,ES2014c
3482,,Speaker B,00:28:44,"But at the beginning, it when you haven't searched yet, is it is it just is it still divided into two and the bottom half is just just empty? Okay.",Information,,EN2002d
35111,,Speaker D,00:11:37,And this brings the menu up on the screen? This brings the menu up on the screen and the orange ones are,Information,,IS1009d
38662,,Speaker C,00:21:43,"Yeah, three quarters. So so you don't have to put your oh.",Discussion,,TS3005c
40963,,Speaker A,00:09:28,"Yeah, and even if we drop three buttons from here, we still have to make some adjustments around here. So",Discussion,,TS3006d
38583,,Speaker B,00:13:19,"I forgot that one. I thought I forgot something, but . And and the numbers, that should be a bit larger I think it's not really on scale and and so forth. an options button. And I thought the the button for teletext apar apart because it's not really options, I think. It's options is the settings of the remote and of the T_V_ and that kind of thing. So could call it settings or something. But this is a bit how I thought it. And the L_C_D_ somewhere on the remote. Perhaps we could be more curvy the remote perhaps should,",Discussion,,TS3005c
22716,,Speaker D,00:38:36,"Yeah, it's his family name and actually Jeffrey Lebowski and he's he's the there is a a story with another Lebowski that yeah.",Information,,IB4010
32237,,Speaker B,00:17:22,According to the distance. Yeah yeah yeah.,Information,,IS1006b
5750,,Speaker B,00:29:04,That's not a separate source.,Discussion,,EN2006b
21760,,Speaker A,00:10:50,"Okay, so we would prefer the names. Okay I I don't want to influence you too much, but mm I'm perfectly happy to start with this as the basis and then change things.",Information,,IB4004
8162,,Speaker B,00:27:34,Very good. what about leadership?,Discussion,,ES2002d
32908,,Speaker C,00:21:58,"Yeah. Then it automatically we can just do like you feel, it goes. And it will activate , plus, yeah, it's price is really",Information,,IS1006d
27578,,Speaker B,00:29:13,"Yes, exactly like it. , so",Discussion,,IS1000d
35625,,Speaker D,00:31:32,"And it wouldn't have to be touchscreen or a very expensive screen, but",Discussion,,TS3003b
25244,,Speaker B,00:26:34,"Oh well, it's it has been used for speech coding. Nob nobody use it for recognition stuff I think, I never heard that.",Discussion,,IN1012
20316,,Speaker A,00:05:55,Marketing? We're watching trends. I suppose that you can have this.,Information,,ES2016c
31483,,Speaker A,00:01:28,"So I dunno, you can starts.",Discussion,,IS1005a
11816,,Speaker A,00:26:11,I think it mm,Discussion,,ES2006d
3863,,Speaker B,00:14:20,"Yeah. Well, I wouldn't bother to mark all of those instances though.",Discussion,,EN2004a
14632,,Speaker A,00:27:59,I dunno about you guys but I felt like,Discussion,,ES2009d
36062,,Speaker A,00:20:59,"So we make one for the volume, one for the channel.",Discussion,,TS3003d
22875,,Speaker B,00:05:50,"It's it's hard to tell. So that's your impression. Yeah. That's mine, but",Discussion,,IB4011
37855,,Speaker C,00:33:21,"Yeah, just brainstorming basically.",Summary,,TS3004d
11313,,Speaker B,00:15:15,"Oh, it's like the iPod.",Discussion,,ES2006c
38659,,Speaker B,00:21:36,Yeah it it's supposed to be bit s bit s bit Yeah.,Discussion,,TS3005c
15707,,Speaker A,00:14:19,wha what well probably our target group and how it's gonna going to appeal to our target group and I dunno the the s the buttons and what it does and that sort of thing. So.,Action_Item,,ES2011b
15357,,Speaker A,00:06:07,"Alright, average is two.",Information,,ES2010d
35719,,Speaker A,00:15:44,So these are the points we have to discuss.,Information,,TS3003c
21766,,Speaker A,00:11:21,"Mm-hmm. Or actually, Pierrette is a woman too. Yeah, it's the feminine of Pierre.",Information,,IB4004
28093,,Speaker A,00:27:46,Yeah. Maybe switch T_V_ on and off,Discussion,,IS1001b
23399,,Speaker A,00:28:12,"okay, so maybe like here for instance it is a just reproduced two times .",Discussion,,IN1001
12556,,Speaker A,00:36:36,Okay. right well. It's we're we've still couple of minutes until our meeting's due to finish.,Information,,ES2007c
18297,,Speaker C,00:21:51,and I think that's all I had to say for that.,Discussion,,ES2014c
10036,,Speaker A,00:02:24,"'Cause I I know as you add more buttons to the remote it sometimes gets so big and clunky and there's just like a hundred buttons on it, or you could have a really small slim one but then you could lose it easily.",Discussion,,ES2005a
29657,,Speaker C,00:03:09,"Yeah. It's hard f i it's easy for you to remember it. Or to recognise it, yeah.",Information,,IS1003c
49181,,Speaker A,00:30:06,"Okay, so we want the remote to be the s the side view actually, what I'm gonna draw. So",Discussion,,TS3012c
15064,,Speaker C,00:05:43,"Okay, looking at the interface concept, it's gonna be mostly examples of possibilities of where we can go with this. if you wanna start the next slide.",Information,,ES2010c
18911,,Speaker D,00:08:03,"-oh, we have a good artist.",Information,,ES2015a
13134,,Speaker D,00:36:56,"But if I open it and then save it, probably will be there. Oh wait, never mind you can't save it to the",Discussion,,ES2008b
21932,,Speaker A,00:26:21,"Except that we cannot read it, but",Discussion,,IB4004
14526,,Speaker A,00:19:18,What do you guys feel about the process?,Discussion,,ES2009d
34209,,Speaker B,00:25:10,the only thing that I saw missing from your your research that we found was this ability to find the doggone thing when you need it.,Information,,IS1008b
15903,,Speaker B,00:10:56,"They have to r wheel really fast. But I think the wheel goes through like a hundred channels, at least on theirs.",Discussion,,ES2011c
33957,,Speaker A,00:06:26,"Yeah, but before we talk about the finance, okay, do you have some idea how we can sell this product or project in the market and how much is going to benefit to the company and of course it's to the individual also.",Action_Item,,IS1008a
37816,,Speaker D,00:30:09,the prices could be twenty Euros or something now. And then,Discussion,,TS3004d
9138,,Speaker A,00:13:35,You mean to save it lesser number.,Discussion,,ES2004a
45774,,Speaker B,00:37:19,"the fourth one is empty, isn't it? Yeah.",Information,,TS3009c
10541,,Speaker C,00:25:09,"Yes, or maybe it's just going a bit too far. I mean we are pushing it probably with funny fruit shapes. don't wanna sort of overkill.",Discussion,,ES2005c
30292,,Speaker B,00:25:13,"The solar cells, r is i is it?",Information,,IS1003d
11957,,Speaker A,00:08:26,I honestly can't draw for toffee. .,Discussion,,ES2007a
42868,,Speaker D,00:39:43,You have now ten minutes left to finish up the end report.,Information,,TS3007d
1480,,Speaker B,00:51:06,I think it would be cool if we could check the NITE clock f code or whatever code it is for this component and see if we can access those rate things and and do something useful with them and get notified when they change and stuff.,Discussion,,EN2001d
43575,,Speaker A,00:12:59,"I think yeah, I don't know why, but I think that is that's t trendy too, because that's the mo it it you know, it's acc acc accentu , how do you say it?",Discussion,,TS3008c
37782,,Speaker D,00:27:18,Yeah. So we are,Information,,TS3004d
13701,,Speaker C,00:30:18,Break the stem off.,Discussion,,ES2008d
22335,,Speaker D,00:05:06,"It's the bald guy, the",Discussion,,IB4010
45155,,Speaker D,00:30:17,Th that's not a problem. When I draw here it Oh. Huh?,Discussion,,TS3009b
43951,,Speaker C,00:04:15,It's a television. Yes.,Information,,TS3008d
376,,Speaker E,00:53:43,Okay. Wh what connection do you have at home?,Discussion,,EN2001a
16949,,Speaker D,00:10:48,So and also technologically innovative?,Discussion,,ES2012d
1792,,Speaker A,00:41:00,No. it's only if they're used in different contexts.,Discussion,,EN2001e
8323,,Speaker B,00:12:01,Okay. Now we better actually just get on with the the meat of the project. So I'm gonna guess that we've all used remote controls.,Discussion,,ES2003a
34140,,Speaker B,00:16:13,so that y you know sen send power to it.,Discussion,,IS1008b
17666,,Speaker B,00:19:37,"Yeah, I think they're different, aren't they?",Discussion,,ES2013d
23826,,Speaker D,00:26:09,"No, RAID five is better, I think. It l it levels.",Discussion,,IN1002
4596,,Speaker D,01:20:38,"you know, taken you know, the good features from, you know, both sides and and tried to put them together.",Discussion,,EN2005a
19519,,Speaker A,00:01:23,"gave it. And talk about our finances, whether we were under or over our budget. I have a a spreadsheet where we can calculate our prices for every aspect of of what we've made, given our options. And evaluate the product, as a group. And",Discussion,,ES2015d
19919,,Speaker C,00:02:19,"Hiya, I'm Ryan. I'm the User Interface Designer. likewise I've three different roles for each stage of design. the functional design is looking at the tex technical functions of a remote control. in the concept design, the user interface, how the user reacts with the the product. And the detailed design sort of like the user interface design, what they might be looking for, things like fashions, what makes wha how we're gonna make it special.",Discussion,,ES2016a
7381,,Speaker D,00:12:02,Do we have any other background information on like how that compares to other,Discussion,,ES2002a
16851,,Speaker A,00:33:36,"a custom chip, but given the the we've cut the functions down, that will hopefully not be too problematic, but given that technol technological innovation is important, then we need to, I'll say it again, technologically innovate.",Action_Item,,ES2012c
12171,,Speaker A,00:15:14,"which I think it probably should be, even if it's a physical, you know, a f a like a f a physical switch or a physical cover for the remote, even something like that, then yes, it's like, you know, like s you said earlier on ab ab ab a flip thing, something like that, but you know being physical. Look into. I've had word down from head office that something that we should be centred well, something we should take into account is we've gotta keep the corporate image within this remote control unit. It's gotta d look like it's in the R_ and R_.",Discussion,,ES2007b
24059,,Speaker D,00:15:28,"And if it should improve it, if you say this feature extraction process is better than you can have a better cleaner separation between those two.",Action_Item,,IN1005
29915,,Speaker B,00:28:01,"I think the supplement can be the voice. It is just, you know, it is not the most important, but",Discussion,,IS1003c
48971,,Speaker A,00:12:56,Looks like a Star Trek phaser.,Discussion,,TS3012c
47192,,Speaker A,00:07:41,"Yep. Current colour, you can choose another colour. And for example",Decision,,TS3011a
43791,,Speaker D,00:29:48,That's way too Nokia.,Discussion,,TS3008c
22727,,Speaker D,00:39:47,"so y y I don't know if you you cannot really see, but mm there is the the pricing information. So we said that one movie is eight Francs and three movies eighteen Francs. And we can have annual subscrip subscription of sixty Francs.",Information,,IB4010
17307,,Speaker C,00:34:31,"Alright, well that's fine then.",Discussion,,ES2013b
2818,,Speaker C,00:15:01,Are you serious? That's a,Information,,EN2002c
19362,,Speaker B,00:19:57,"I think it would be possible. I don't think it would make that much difference. I mean, the the dimensions of it. 'Cause if it's just like constructed in the same way as like the front cover of a mobile phone. You can like take off the hard cover and then there's the like say the buttons. And then you get to the circuit. I don't think it would matter that the buttons were bigger through the, the top casing. I'm sure you could f work it out to fit in the casing, without causing too much difficulty. I'm sure that'd be fine.",Discussion,,ES2015c
7804,,Speaker B,00:34:15,"S so like cur slightly transparent case, so it's yellow, like tinted yellow, but you can maybe see through it. Is that what you mean?",Discussion,,ES2002c
30385,,Speaker A,00:31:53,"Yeah th no, it's the it's the pineapple control remote control. It's a pineapple now, it has changed. It's a pineapple. Pineapple.",Discussion,,IS1003d
46524,,Speaker D,00:20:16,"the second group is the older group. Aged between forty six and sixty five. They are less interested in new features. But they spend their money more easily. Now if we look back at this graph, we can see that among the first group is about sixty percent. And the second group about forty percent.",Information,,TS3010b
