sentence_id,transcript_id,timestamp,speaker,sentence,selected_label
41750,TS3007a,00:21:39,Speaker A,"But we have to keep an eye that it's at the beginning of such a project, it's it's it's very cool to talk about, well, this would be cool, that would be cool. but we must not lose sight of the the user friendly",Action_Item
18327,ES2014c,00:26:53,Speaker A,"Was that in the sort of fashion sense that this Or was the spongy feel was that sort of fashion? It was, wasn't it? So the",Information
3482,EN2002d,00:28:44,Speaker B,"But at the beginning, it when you haven't searched yet, is it is it just is it still divided into two and the bottom half is just just empty? Okay.",Information
35111,IS1009d,00:11:37,Speaker D,And this brings the menu up on the screen? This brings the menu up on the screen and the orange ones are,Information
38662,TS3005c,00:21:43,Speaker C,"Yeah, three quarters. So so you don't have to put your oh.",Discussion
40963,TS3006d,00:09:28,Speaker A,"Yeah, and even if we drop three buttons from here, we still have to make some adjustments around here. So",Discussion
38583,TS3005c,00:13:19,Speaker B,"I forgot that one. I thought I forgot something, but . And and the numbers, that should be a bit larger I think it's not really on scale and and so forth. an options button. And I thought the the button for teletext apar apart because it's not really options, I think. It's options is the settings of the remote and of the T_V_ and that kind of thing. So could call it settings or something. But this is a bit how I thought it. And the L_C_D_ somewhere on the remote. Perhaps we could be more curvy the remote perhaps should,",Discussion
22716,IB4010,00:38:36,Speaker D,"Yeah, it's his family name and actually Jeffrey Lebowski and he's he's the there is a a story with another Lebowski that yeah.",Information
32237,IS1006b,00:17:22,Speaker B,According to the distance. Yeah yeah yeah.,Information
5750,EN2006b,00:29:04,Speaker B,That's not a separate source.,Discussion
21760,IB4004,00:10:50,Speaker A,"Okay, so we would prefer the names. Okay I I don't want to influence you too much, but mm I'm perfectly happy to start with this as the basis and then change things.",Information
8162,ES2002d,00:27:34,Speaker B,Very good. what about leadership?,Discussion
32908,IS1006d,00:21:58,Speaker C,"Yeah. Then it automatically we can just do like you feel, it goes. And it will activate , plus, yeah, it's price is really",Information
27578,IS1000d,00:29:13,Speaker B,"Yes, exactly like it. , so",Discussion
35625,TS3003b,00:31:32,Speaker D,"And it wouldn't have to be touchscreen or a very expensive screen, but",Discussion
25244,IN1012,00:26:34,Speaker B,"Oh well, it's it has been used for speech coding. Nob nobody use it for recognition stuff I think, I never heard that.",Discussion
20316,ES2016c,00:05:55,Speaker A,Marketing? We're watching trends. I suppose that you can have this.,Information
31483,IS1005a,00:01:28,Speaker A,"So I dunno, you can starts.",Discussion
11816,ES2006d,00:26:11,Speaker A,I think it mm,Discussion
3863,EN2004a,00:14:20,Speaker B,"Yeah. Well, I wouldn't bother to mark all of those instances though.",Discussion
14632,ES2009d,00:27:59,Speaker A,I dunno about you guys but I felt like,Discussion
36062,TS3003d,00:20:59,Speaker A,"So we make one for the volume, one for the channel.",Discussion
22875,IB4011,00:05:50,Speaker B,"It's it's hard to tell. So that's your impression. Yeah. That's mine, but",Discussion
37855,TS3004d,00:33:21,Speaker C,"Yeah, just brainstorming basically.",Summary
11313,ES2006c,00:15:15,Speaker B,"Oh, it's like the iPod.",Discussion
38659,TS3005c,00:21:36,Speaker B,Yeah it it's supposed to be bit s bit s bit Yeah.,Discussion
15707,ES2011b,00:14:19,Speaker A,wha what well probably our target group and how it's gonna going to appeal to our target group and I dunno the the s the buttons and what it does and that sort of thing. So.,Action_Item
15357,ES2010d,00:06:07,Speaker A,"Alright, average is two.",Information
35719,TS3003c,00:15:44,Speaker A,So these are the points we have to discuss.,Information
21766,IB4004,00:11:21,Speaker A,"Mm-hmm. Or actually, Pierrette is a woman too. Yeah, it's the feminine of Pierre.",Information
28093,IS1001b,00:27:46,Speaker A,Yeah. Maybe switch T_V_ on and off,Discussion
23399,IN1001,00:28:12,Speaker A,"okay, so maybe like here for instance it is a just reproduced two times .",Discussion
12556,ES2007c,00:36:36,Speaker A,Okay. right well. It's we're we've still couple of minutes until our meeting's due to finish.,Information
18297,ES2014c,00:21:51,Speaker C,and I think that's all I had to say for that.,Discussion
10036,ES2005a,00:02:24,Speaker A,"'Cause I I know as you add more buttons to the remote it sometimes gets so big and clunky and there's just like a hundred buttons on it, or you could have a really small slim one but then you could lose it easily.",Discussion
29657,IS1003c,00:03:09,Speaker C,"Yeah. It's hard f i it's easy for you to remember it. Or to recognise it, yeah.",Information
49181,TS3012c,00:30:06,Speaker A,"Okay, so we want the remote to be the s the side view actually, what I'm gonna draw. So",Discussion
15064,ES2010c,00:05:43,Speaker C,"Okay, looking at the interface concept, it's gonna be mostly examples of possibilities of where we can go with this. if you wanna start the next slide.",Information
18911,ES2015a,00:08:03,Speaker D,"-oh, we have a good artist.",Information
13134,ES2008b,00:36:56,Speaker D,"But if I open it and then save it, probably will be there. Oh wait, never mind you can't save it to the",Discussion
21932,IB4004,00:26:21,Speaker A,"Except that we cannot read it, but",Discussion
14526,ES2009d,00:19:18,Speaker A,What do you guys feel about the process?,Discussion
34209,IS1008b,00:25:10,Speaker B,the only thing that I saw missing from your your research that we found was this ability to find the doggone thing when you need it.,Information
15903,ES2011c,00:10:56,Speaker B,"They have to r wheel really fast. But I think the wheel goes through like a hundred channels, at least on theirs.",Discussion
33957,IS1008a,00:06:26,Speaker A,"Yeah, but before we talk about the finance, okay, do you have some idea how we can sell this product or project in the market and how much is going to benefit to the company and of course it's to the individual also.",Action_Item
37816,TS3004d,00:30:09,Speaker D,the prices could be twenty Euros or something now. And then,Discussion
9138,ES2004a,00:13:35,Speaker A,You mean to save it lesser number.,Discussion
45774,TS3009c,00:37:19,Speaker B,"the fourth one is empty, isn't it? Yeah.",Information
10541,ES2005c,00:25:09,Speaker C,"Yes, or maybe it's just going a bit too far. I mean we are pushing it probably with funny fruit shapes. don't wanna sort of overkill.",Discussion
30292,IS1003d,00:25:13,Speaker B,"The solar cells, r is i is it?",Information
11957,ES2007a,00:08:26,Speaker A,I honestly can't draw for toffee. .,Discussion
42868,TS3007d,00:39:43,Speaker D,You have now ten minutes left to finish up the end report.,Information
1480,EN2001d,00:51:06,Speaker B,I think it would be cool if we could check the NITE clock f code or whatever code it is for this component and see if we can access those rate things and and do something useful with them and get notified when they change and stuff.,Discussion
43575,TS3008c,00:12:59,Speaker A,"I think yeah, I don't know why, but I think that is that's t trendy too, because that's the mo it it you know, it's acc acc accentu , how do you say it?",Discussion
37782,TS3004d,00:27:18,Speaker D,Yeah. So we are,Information
13701,ES2008d,00:30:18,Speaker C,Break the stem off.,Discussion
22335,IB4010,00:05:06,Speaker D,"It's the bald guy, the",Discussion
45155,TS3009b,00:30:17,Speaker D,Th that's not a problem. When I draw here it Oh. Huh?,Discussion
43951,TS3008d,00:04:15,Speaker C,It's a television. Yes.,Information
376,EN2001a,00:53:43,Speaker E,Okay. Wh what connection do you have at home?,Discussion
16949,ES2012d,00:10:48,Speaker D,So and also technologically innovative?,Discussion
1792,EN2001e,00:41:00,Speaker A,No. it's only if they're used in different contexts.,Discussion
8323,ES2003a,00:12:01,Speaker B,Okay. Now we better actually just get on with the the meat of the project. So I'm gonna guess that we've all used remote controls.,Discussion
34140,IS1008b,00:16:13,Speaker B,so that y you know sen send power to it.,Discussion
17666,ES2013d,00:19:37,Speaker B,"Yeah, I think they're different, aren't they?",Discussion
23826,IN1002,00:26:09,Speaker D,"No, RAID five is better, I think. It l it levels.",Discussion
4596,EN2005a,01:20:38,Speaker D,"you know, taken you know, the good features from, you know, both sides and and tried to put them together.",Discussion
19519,ES2015d,00:01:23,Speaker A,"gave it. And talk about our finances, whether we were under or over our budget. I have a a spreadsheet where we can calculate our prices for every aspect of of what we've made, given our options. And evaluate the product, as a group. And",Discussion
19919,ES2016a,00:02:19,Speaker C,"Hiya, I'm Ryan. I'm the User Interface Designer. likewise I've three different roles for each stage of design. the functional design is looking at the tex technical functions of a remote control. in the concept design, the user interface, how the user reacts with the the product. And the detailed design sort of like the user interface design, what they might be looking for, things like fashions, what makes wha how we're gonna make it special.",Discussion
7381,ES2002a,00:12:02,Speaker D,Do we have any other background information on like how that compares to other,Discussion
16851,ES2012c,00:33:36,Speaker A,"a custom chip, but given the the we've cut the functions down, that will hopefully not be too problematic, but given that technol technological innovation is important, then we need to, I'll say it again, technologically innovate.",Action_Item
12171,ES2007b,00:15:14,Speaker A,"which I think it probably should be, even if it's a physical, you know, a f a like a f a physical switch or a physical cover for the remote, even something like that, then yes, it's like, you know, like s you said earlier on ab ab ab a flip thing, something like that, but you know being physical. Look into. I've had word down from head office that something that we should be centred well, something we should take into account is we've gotta keep the corporate image within this remote control unit. It's gotta d look like it's in the R_ and R_.",Discussion
24059,IN1005,00:15:28,Speaker D,"And if it should improve it, if you say this feature extraction process is better than you can have a better cleaner separation between those two.",Action_Item
29915,IS1003c,00:28:01,Speaker B,"I think the supplement can be the voice. It is just, you know, it is not the most important, but",Discussion
48971,TS3012c,00:12:56,Speaker A,Looks like a Star Trek phaser.,Discussion
47192,TS3011a,00:07:41,Speaker A,"Yep. Current colour, you can choose another colour. And for example",Decision
43791,TS3008c,00:29:48,Speaker D,That's way too Nokia.,Discussion
22727,IB4010,00:39:47,Speaker D,"so y y I don't know if you you cannot really see, but mm there is the the pricing information. So we said that one movie is eight Francs and three movies eighteen Francs. And we can have annual subscrip subscription of sixty Francs.",Information
17307,ES2013b,00:34:31,Speaker C,"Alright, well that's fine then.",Discussion
2818,EN2002c,00:15:01,Speaker C,Are you serious? That's a,Information
19362,ES2015c,00:19:57,Speaker B,"I think it would be possible. I don't think it would make that much difference. I mean, the the dimensions of it. 'Cause if it's just like constructed in the same way as like the front cover of a mobile phone. You can like take off the hard cover and then there's the like say the buttons. And then you get to the circuit. I don't think it would matter that the buttons were bigger through the, the top casing. I'm sure you could f work it out to fit in the casing, without causing too much difficulty. I'm sure that'd be fine.",Discussion
7804,ES2002c,00:34:15,Speaker B,"S so like cur slightly transparent case, so it's yellow, like tinted yellow, but you can maybe see through it. Is that what you mean?",Discussion
30385,IS1003d,00:31:53,Speaker A,"Yeah th no, it's the it's the pineapple control remote control. It's a pineapple now, it has changed. It's a pineapple. Pineapple.",Discussion
46524,TS3010b,00:20:16,Speaker D,"the second group is the older group. Aged between forty six and sixty five. They are less interested in new features. But they spend their money more easily. Now if we look back at this graph, we can see that among the first group is about sixty percent. And the second group about forty percent.",Information
4008,EN2004a,00:30:43,Speaker C,Well it could be she would or should as well. Yeah.,Discussion
48235,TS3011d,00:32:14,Speaker A,"no. Yeah, the project is evaluated. but, well, we need to redesign the product.",Action_Item
14012,ES2009a,00:18:46,Speaker A,"all right. So. I li I'm liking that idea, this idea of a touch screen remote with multi-format features. .",Information
42457,TS3007d,00:10:29,Speaker D,During the design design life-cycle we,Discussion
12108,ES2007b,00:05:13,Speaker B,Are we getting i,Information
33533,IS1007c,00:24:39,Speaker D,Yeah that has to be checked out.,Discussion
27585,IS1000d,00:30:20,Speaker A,Mm. There's n yeah. 'Cause that's the that's the feature that could be included in either of them. Although it is more with the spongy buttons on the,Discussion
26661,IS1000a,00:10:58,Speaker C,you forget about it.,Discussion
40904,TS3006d,00:04:46,Speaker B,But but th the cost of one integrated button is far more than a few extra push-buttons.,Information
17853,ES2014a,00:11:36,Speaker A,And so depending what the the overhead costs are will determine how many units we're looking to sell or projecting to sell at this point in time. So,Discussion
46591,TS3010b,00:30:40,Speaker A,Maybe in the menu?,Discussion
10497,ES2005c,00:21:55,Speaker A,So it'd look like this kinda.,Information
13058,ES2008b,00:29:29,Speaker A,"So our target group, we're saying, fifteen to thirty five?",Discussion
781,EN2001b,00:16:15,Speaker C,So you mean an a an attribute. Yeah.,Discussion
11198,ES2006b,00:31:58,Speaker C,"So that you can yell at it, yeah.",Discussion
4503,EN2005a,01:06:28,Speaker B,"-huh. Dialogue act, yeah.",Discussion
48350,TS3012a,00:09:51,Speaker A,Not sure where the p. Just put 'em here. Whatever.,Discussion
26802,IS1000b,00:04:12,Speaker D,So y you are the secretary also. Right? Okay.,Information
40330,TS3006b,00:37:36,Speaker A,Yeah it's a lot of pressure.,Discussion
4434,EN2005a,00:54:42,Speaker D,"So I mean I think it's clear that something at this level needs to be there. I mean and to ask questions, like who disagreed or were there any counter proposals or whatever. Even those kind of questions you need some kind of mark-up like this.",Decision
122,EN2001a,00:20:21,Speaker E,chunks representing the individual meetings or some,Discussion
3735,EN2003a,00:27:51,Speaker A,"Might even have to come in in the evening. But that's not the end of the world, but we might have to set some things up. Like maybe just get the chairs organised or whatever. We might actually have to go into the rooms and get things ready. And there's gonna be other things like getting the technology ready. So not only is there a pressure to have",Discussion
41456,TS3006d,00:40:57,Speaker D,It's not very ideal.,Discussion
39437,TS3005d,00:28:12,Speaker C,"You lose this one, you got eleven point five and you make i and then you can make the spec single curve, for example.",Information
11659,ES2006d,00:15:27,Speaker C,"All of the components have been used in other things before. But do yeah, yeah.",Discussion
25332,IN1012,00:36:56,Speaker A,But maybe my have a f for publishing another paper or something.,Discussion
45032,TS3009b,00:20:59,Speaker B,For instance you couldn't see this.,Discussion
32954,IS1006d,00:24:48,Speaker B,"So, was there result? Let's have a look.",Discussion
43943,TS3008d,00:03:45,Speaker B,"Yeah well, I don't have time in anymore on the",Discussion
23579,IN1001,00:50:30,Speaker C,"Yes. Yes. so just last question maybe, so this makes a X_M_L_ file. Okay. This is the the programme to to generating the X_M_L_ file and the the shot. And with the kayak you have one problems, you don't have the Real Media, so this is another thing.",Discussion
725,EN2001b,00:10:05,Speaker B,No but w like so they are they are segments in what sense? Wh what's definition of a segment then?,Discussion
45704,TS3009c,00:33:44,Speaker C,"Yeah it it should be hard on the on the on the board, and you can remove the front.",Discussion
1821,EN2001e,00:45:02,Speaker A,But actually this all here is N_L_S_S_D_ because it was data A_ that didn't fit on my quota anymore. Okay.,Information
33857,IS1007d,00:28:07,Speaker D,On the same P_C_B_ yeah yeah.,Discussion
15082,ES2010c,00:09:31,Speaker B,It'll be copy of component design.,Discussion
49111,TS3012c,00:25:12,Speaker B,L_C_D_ screen. This is the on off button.,Information
18737,ES2014d,00:33:21,Speaker B,"Yeah, maybe we've m",Discussion
40604,TS3006c,00:25:34,Speaker A,"Yeah. So the keywords are primary co colours, spongey?",Information
13272,ES2008c,00:24:29,Speaker C,"Oh, I see, right, yeah. Oh, okay. Yeah, that's quite a good design.",Discussion
8569,ES2003c,00:07:40,Speaker D,gonna spend the money,Discussion
42862,TS3007d,00:39:02,Speaker A,"well, just about, because",Information
20344,ES2016c,00:11:15,Speaker C,"I was sent some information from the company saying that they, the technology department have devised a new speech recognition technology, where you can program questions into such devices.",Information
29567,IS1003b,00:18:36,Speaker A,But this was first step and,Information
36267,TS3003d,00:40:51,Speaker A,Then we still have some questions. If somebody has some questions they can ask them now. Or we can put these in the project folder as well. Maybe that's,Discussion
42442,TS3007d,00:09:02,Speaker C,"Yeah. Yeah, maybe yeah, perhaps you're right. , I I would I would actually agree with this sounds logical.",Decision
7151,EN2009d,01:04:03,Speaker A,Okay. So what you're planning on doing it is bunging it on one of the Camtasia tracks and then splicing it off the Camtasia track.,Discussion
35695,TS3003c,00:09:53,Speaker B,"And and for shifting up a sen c ch channel or for putting out sound or something, you can just give a sign say sound off or",Discussion
31873,IS1005c,00:18:26,Speaker D,"So if we use s solar cells, where is the sun if someone's watching T_V_ inside?",Information
37706,TS3004d,00:22:26,Speaker B,"Just save, save as?",Discussion
11173,ES2006b,00:28:40,Speaker C,"Yeah, if we ta if we take fifteen to thirty five, but that then does imply that we should try and incorporate voice recognition. Is that gonna have a an implication for the technical specs?",Discussion
9566,ES2004c,00:26:16,Speaker A,So basically not point or click,Summary
24384,IN1007,00:24:00,Speaker B,Yeah. I think Hynek has got ma many papers or some papers over that. So Oh. In I think I read it.,Discussion
23639,IN1002,00:04:34,Speaker B,"the the difference is that we do one more step, maybe I can explain it better there. So we do one more step here, and we here by means of another H_M_M_ we introduce some kind of prior knowledge and contextual information, we get better evidences than what i we initially had here, and then we do the decoding and the and s more informative posteriors instead of this one.",Discussion
21568,IB4003,00:20:39,Speaker A,"Yeah, hopefully visitors don't need as much say filing space, or Yeah, they don't have that many papers. okay. So that's I have to to ask, so you don't really feel very strongly attached to this grouping by projects idea? Mm-hmm.",Information
35805,TS3003c,00:26:41,Speaker A,maybe you can make a little drawing of it on the,Discussion
31356,IS1004d,00:22:55,Speaker C,"So we have the regular chip on the print, which is one.",Information
26909,IS1000b,00:17:36,Speaker D,So the the main components you see here are the cheapest I have found and,Information
32787,IS1006d,00:14:00,Speaker B,"It's a jog dial for controlling the cursor on the L_C_D_ screen. Like, selecting the menus.",Discussion
46191,TS3009d,00:25:39,Speaker D,"This this this isn't a SMARTboard, right?",Information
14200,ES2009c,00:03:01,Speaker B,", the case, we have a few options, plastic, rubber or wood. and then as far as the way it's shaped, we can do standard boring flat, which we probably don't wanna do, curved or very sexy double curved.",Information
34827,IS1009b,00:24:54,Speaker B,Timer. Yeah and then you can use a timer as well.,Discussion
49660,TS3012d,00:32:53,Speaker C,I think I like it like this more.,Discussion
45994,TS3009d,00:14:27,Speaker D,"Right, R_ R_S_I_ sensitive?",Discussion
3025,EN2002c,00:38:46,Speaker A,"Yeah. Yeah, that sounds good.",Discussion
26495,IN1016,00:49:36,Speaker C,"That's the intention, yep.",Discussion
47464,TS3011b,00:21:38,Speaker A,"Yeah, draw draw it on the board.",Discussion
18178,ES2014c,00:08:50,Speaker A,with the printed circuit boards you were going for the,Discussion
6072,EN2009b,00:07:23,Speaker B,"-huh, okay. Very nice, very pretty. It doesn't get in the way of seeing what's underneath?",Discussion
48172,TS3011d,00:25:43,Speaker A,Okay. we'll go further on with the the rest of the evaluation.,Discussion
4880,EN2006a,00:19:36,Speaker B,Silicone two is an element rather than a,Information
29009,IS1002c,00:31:20,Speaker A,"But you've gotta think who our target market is because I I'm not our target market. I'm a student, but",Discussion
42282,TS3007c,00:29:51,Speaker C,"Yeah, that's true. That's true, but at same instant, same happens when you have remote control. So",Discussion
36515,TS3004b,00:02:34,Speaker A,How do I I escape this s presentation?,Discussion
20809,IB4001,00:07:47,Speaker B,Yeah. I mean the rooms aren't tiny if you look at the this,Information
6046,EN2009b,00:03:50,Speaker C,"Wh a spare head? Or yes, but she's not around. So",Information
28603,IS1002b,00:18:47,Speaker D,"Is that for over here? Okay, alright.",Information
42593,TS3007d,00:19:12,Speaker B,Yeah? Cau 'cause so it's okay.,Discussion
20681,ES2016d,00:18:29,Speaker A,Maybe it's one because of the,Discussion
25414,IN1012,00:44:48,Speaker A,"Mm yeah. Yeah yeah, Fes yeah, I think I think you can do the Festival, you can just call like this there are different kind of again, how you call the Festival, so you can just give the full there is an too. So then you will get the all the caller and other things. If if you want to like read full text, then you can say like the full text, like those syntax and then it will speak till it finishes the text.",Discussion
20237,ES2016b,00:32:34,Speaker A,"If you, if we want the remote to do other things like or I guess the T_V_ to be able to change the tint and the colour and you know all those kind of things that are built into T_V_s, we just have that under one standard menu button where you go in, press the menu button, scroll up and down to select it.",Information
38579,TS3005c,00:12:53,Speaker B,"I tried to the L_C_D_ screen I tried to sort of to draw. I thought at least the icon for the volume. I don't know if there is an icon for the program, but yeah. So and then the buttons above and below the and the and the mute button also recognisable as an icon.",Information
14653,ES2009d,00:29:30,Speaker B,"That was pretty cool, it was a high moment of the whole experiment.",Discussion
44303,TS3008d,00:28:08,Speaker C,It's eighty percent of the price of the of the amount of,Discussion
2961,EN2002c,00:31:33,Speaker C,"Like if you're looking for something speci like, is that what you're thinking? Like if they if they know exactly where they wanna go, they wanna go to, you know, that meeting on December third, and they just wanna go there and see stuff, then they can immediately go and browse that.",Discussion
15565,ES2011a,00:11:56,Speaker A,"just like a magnet on the back of it and you could I mean j just to have some place to put it besides like a base. You know like a portable phone has a base, like just to have a home for it. 'Cause people just stick it on top of their T_V_, but the point of having a remote is not to have to walk over to the T_V_, so",Discussion
48489,TS3012b,00:16:29,Speaker D,"Everyone wants to buy it, so we w yeah.",Discussion
5874,EN2006b,00:38:06,Speaker C,"Yeah yeah, we aren't gonna make it to our second cookie break.",Information
16264,ES2011d,00:23:00,Speaker C,Yeah the broccoli I guess wins.,Discussion
13956,ES2009a,00:12:11,Speaker B,"Yeah, my grandparents lived on thirty second.",Information
16002,ES2011c,00:20:30,Speaker D,Yeah I was thinking of getting a cover for,Discussion
31923,IS1005c,00:24:49,Speaker B,"Yeah, m maybe the banana could be like a bit fatter than than the c c common one. But",Discussion
23218,IB4011,00:38:17,Speaker D,We still have to decide for next meeting and we're all set.,Decision
4554,EN2005a,01:14:38,Speaker B,"Oh yeah. Oh, I don't even know which one I've missed. Brussels, Amsterdam. T_N_O_, okay. See, I wasn't there. So I don't know where it was.",Information
29522,IS1003b,00:13:18,Speaker A,"We've made a study, so could you go to next slide. Sorry for the functional recurrence. So that's the standard method for marketing, okay. We had one hundred subjects, , we observe their remote control use in a lab and then after all the experiments they had to fill up a questionnaire, ,",Discussion
23121,IB4011,00:30:25,Speaker C,"But actually I'm I'm little bit missing th some information about our movie club, I think there should be some more information.",Discussion
22781,IB4010,00:44:45,Speaker B,"so we have seven candidates. if you have a good short term memory that should be okay. Yeah. So Big Lebowski, Usual Suspects, Saving Private Ryan, Pulp Fiction, American Beauty, Schindler's List and Silence of the Lambs. So now let's vote. Should we vote just for one film or should each of us say give",Discussion
30657,IS1004b,00:26:23,Speaker C,So if we go with just the,Discussion
9021,ES2003d,00:35:33,Speaker A,Such as it is.,Information
25163,IN1012,00:13:53,Speaker B,"O yeah, yeah, overlap.",Discussion
6432,EN2009c,00:18:50,Speaker C,i th in theory JAST is meant to have it every morning.,Information
46244,TS3009d,00:28:22,Speaker D,"Well these chairs, man. Really great.",Discussion
45375,TS3009c,00:08:39,Speaker C,"discmans for jogging and that those kind of devices, gaming devices, should define the characteristics of the device. But since we don't have a really a sports or gaming device, so we don't really have to consider that.",Discussion
15312,ES2010d,00:03:30,Speaker D,"Alright. so these are the criteria we're gonna ask, is it easy to use, is it fashionable yeah, I guess we should write these down so we can reference them.",Discussion
18600,ES2014d,00:21:24,Speaker C,"Yeah, it's got the cherry and the sponginess.",Discussion
27901,IS1001b,00:02:49,Speaker C,What do you have in short cut?,Summary
42315,TS3007c,00:32:37,Speaker C,"Yeah. That is true, that is true.",Information
2523,EN2002b,00:09:43,Speaker D,"Oh. Well if we're skipping the audio one, and then things got easier.",Discussion
43830,TS3008c,00:32:06,Speaker D,"Oh, yeah. Okay, yeah.",Discussion
9428,ES2004c,00:06:03,Speaker A,Fine. It's okay with me.,Discussion
18024,ES2014b,00:23:35,Speaker A,"Yeah. I dunno talking about vo I mean obviously if you've got voice recognition then you can do it in that way because it'll recognise the voice and you can give it a command, a set command whatever that happened to be. But you've then got the point if if you're not going with voice recognition then",Discussion
34733,IS1009b,00:08:30,Speaker D,"And, in order to make it really sellable we've gotta shorten the learning curve, make sure it's really intuitive and easy to use. We have to have as few buttons as possible, because more buttons is more confusion, so that's why I'm saying, simplicity is good. Finding it's important, obviously you can't use it if you can't find it. So we've gotta concentrate on the features that help you find it, and I've already said this several times but I put it down in writing here, it should be an attractive impulse purchase at twenty five Euros. So it has to have enough value that when somebody looks at it they say, twenty five Euros I'm not gonna take that. Has to be so great that they're gonna say, twenty five Euros isn't much. and then maybe a motto, like we put fashion in electronics might be something we can use in our marketing campaign. Okay that's about it for me right now.",Discussion
4901,EN2006a,00:21:01,Speaker C,"But saying that isn't the same as saying we've seen that in a spectrum, whereas a broad line quasar, someone has looked at it and they've seen a broad line.",Information
33866,IS1007d,00:29:07,Speaker D,Do you require different types of P_C_B_s and,Discussion
28217,IS1001c,00:07:51,Speaker A,To have the light always on?,Discussion
1016,EN2001b,00:50:01,Speaker A,Yep. Should be possible.,Discussion
42958,TS3008a,00:02:18,Speaker D,"Come on, move it.",Discussion
11338,ES2006c,00:19:43,Speaker B,"And i it would be like I mean if you could make it integrate with the T_V_ then it could come up with new information about what's on, and you could just see that on the remote rather than",Discussion
6322,EN2009c,00:04:04,Speaker B,"Yeah. No, I'm just try I'm trying to l think of the things that could go wrong. but since I haven't tried it this particular way, you know, but yeah, that sounds good. So i so you say we haven't finalised what the G_D_F_ looks like. Is that an implicit request for me to do something? Or",Discussion
14836,ES2010b,00:06:50,Speaker A,Alright. Now we have Courtney with the functional requirements.,Discussion
4504,EN2005a,01:06:32,Speaker D,"And I mean it seems to me that chunking should have some kind of so if if your dialogue act segmenter says there's there's a segment here, but your chunker said no, this is a coherent chunk, then y y you know, w I mean maybe they could work together to do a better job than",Discussion
21096,IB4002,00:01:39,Speaker D,go through that first.,Discussion
364,EN2001a,00:52:31,Speaker E,"Yeah, if you if you enter the big room, in the right-hand corner, I think. the thing is like you can only burn from the local file-system. So if it's from s well actually I think if it's mounted, you can directly burn from there, but the problem is I have my data on beefy and so I have to get it into the local temp directory and burn it from there. But you can burn it from there.",Discussion
31362,IS1004d,00:23:21,Speaker A,Okay so I'll remove it.,Discussion
42903,TS3007d,00:42:33,Speaker C,"It's not double. , it's not double anymore, eh?",Discussion
5696,EN2006b,00:24:33,Speaker B,I think that's right.,Discussion
9301,ES2004b,00:25:21,Speaker D,"Do we have to initially , you know looking at the findings here, focus on",Discussion
30598,IS1004b,00:14:55,Speaker B,'Cause the thing is what a what we the presen this presentation we had is what we want the remote control to actually do. And obviously the the simplest thing that a remote control does is it just change the change the channel. Now,Discussion
24144,IN1005,00:31:27,Speaker A,"Like this, yeah, mm mm mm, okay.",Information
4749,EN2006a,00:08:07,Speaker C,I don't remember what we were doing with nebulae.,Discussion
12862,ES2008a,00:13:21,Speaker C,or should we just stick to just stick to having television television related buttons on it?,Discussion
25737,IN1013,00:33:30,Speaker B,. . Ok ok ok,Discussion
14230,ES2009c,00:08:27,Speaker C,"I like it, I like it.",Discussion
