sentence_id,turn_id,speaker,timestamp,sentence,selected_label
15,15,Sneha,39938.0,I'll design the email template.,Action_Item
16,16,Simran,39960.0,I'll prepare the requirement document.,Action_Item
17,17,Rohan,39995.0,Perfect.,Summary
18,18,Simran,40015.0,Today's decisions are finalized.,Summary
19,19,Simran,40030.0,Meeting closed.,Summary
1,1,Speaker 1,,That's great.,Discussion
1,1,Rahul,,"Yeah, I checked it.",Information
2,1,Rahul,,Overall it looks clean.,Discussion
3,1,Rahul,,I just think the navigation bar is slightly crowded on smaller screens.,Discussion
4,2,Priya,,That's fair.,Discussion
5,2,Priya,,I can reduce the number of visible menu items and move the rest into a hamburger menu.,Action_Item
6,2,Priya,,"[10:04 AM] Neha: From the backend side, we'll need to know which sections will pull dynamic data because that affects the APIs.",Discussion
7,3,Aarav,,Good point.,Discussion
8,3,Aarav,,"Rahul, which components are dynamic?",Discussion
9,4,Rahul,,"The trending games section, user statistics, and recently played games.",Information
11,5,Neha,,I'll expose APIs for those this week.,Action_Item
12,5,Neha,,[10:09 AM] Priya: What about the announcements banner?,Discussion
13,5,Neha,,Should it rotate automatically?,Discussion
14,6,Aarav,,"Yes, but let's keep the timing around five seconds.",Decision
15,6,Aarav,,Users should also be able to pause it manually.,Decision
16,7,Rahul,,"Accessibility-wise, that's a good idea.",Discussion
17,7,Rahul,,"[10:14 AM] Neha: One concern—if we fetch too much data on page load, performance might suffer.",Discussion
18,8,Rahul,,We can lazy-load sections below the fold.,Discussion
19,9,Aarav,,Let's go with that.,Decision
20,9,Aarav,,[10:18 AM] Priya: Should we include dark mode in the first release?,Discussion
21,10,Rahul,,"Personally, I'd postpone it.",Discussion
22,11,Neha,,Agreed.,Decision
23,11,Neha,,Better to stabilize the main features first.,Discussion
24,12,Aarav,,"Okay, dark mode moves to Phase 2.",Decision
25,12,Aarav,,[10:25 AM] Aarav: Let's summarize.,Summary
26,12,Aarav,,Homepage finalized.,Summary
27,12,Aarav,,Dynamic APIs this week.,Summary
28,12,Aarav,,Lazy loading for lower sections.,Summary
30,13,Meeting Ended,,10:32 AM,Summary
1,1,Riya,,Thanks for joining everyone.,Information
2,1,Riya,,"We're less than a month away from the tech fest, so today we need to lock the major responsibilities.",Information
3,2,Karan,,"The auditorium booking is confirmed, but we still don't have approval for the seminar hall.",Information
4,3,Mehul,,Does that affect the coding competition?,Discussion
5,4,Karan,,Slightly.,Information
6,4,Karan,,"If we don't get the seminar hall, we'll have to use two classrooms instead.",Discussion
7,5,Simran,,"That's manageable, but we'll need to update the promotional posters.",Action_Item
8,6,Riya,,Okay.,Discussion
9,6,Riya,,What about sponsors?,Discussion
10,7,Mehul,,I've spoken with four companies.,Information
11,7,Mehul,,Two have already shown interest.,Information
12,7,Mehul,,One of them wants branding on stage and social media mentions.,Information
13,8,Simran,,That's reasonable.,Discussion
14,8,Simran,,We usually offer that in our Gold Sponsor package.,Information
15,9,Riya,,Great.,Discussion
16,9,Riya,,Let's proceed.,Decision
17,10,Karan,,We also need volunteers.,Information
18,10,Karan,,Right now we only have 18 registrations.,Information
19,11,Riya,,We need at least 35.,Decision
20,12,Simran,,I'll post another recruitment announcement tonight.,Action_Item
21,13,Mehul,,One more thing.,Discussion
22,13,Mehul,,Should we arrange participant certificates digitally or printed?,Discussion
23,14,Karan,,Digital would save both time and budget.,Discussion
1,1,Vivek,,I've collected around 200 meeting transcripts.,Information
2,2,Sana,,Are they cleaned?,Discussion
3,3,Vivek,,Not completely.,Information
4,3,Vivek,,Some still have filler words and timestamps.,Information
5,4,Rohit,,"Actually, I think we should keep some filler words.",Discussion
6,4,Rohit,,Real meetings aren't perfectly structured.,Discussion
7,5,Ananya,,Exactly.,Discussion
8,5,Ananya,,It'll help the model generalize better.,Information
9,5,Ananya,,[3:06 PM] Sana: What about the output format?,Discussion
10,7,I'm thinking,,Summary Key Decisions Action Items Participants,Discussion
11,8,Ananya,,Sounds good.,Decision
12,9,Vivek,,Should we fine-tune an existing model or use prompt engineering?,Discussion
13,10,Rohit,,Initially prompt engineering.,Decision
14,11,Sana,,Then later fine-tuning if needed.,Decision
15,11,Sana,,[3:15 PM] Ananya: Dataset size?,Discussion
16,12,Vivek,,"Currently around 90,000 words.",Information
17,13,Ananya,,Let's target at least 300 transcripts.,Decision
1,1,Aditya,,Morning everyone.,Information
2,1,Aditya,,Let's start with weekly updates.,Information
3,2,Sneha,,Operations have been smooth except for delayed vendor payments.,Information
4,3,Aditya,,Any reason?,Discussion
5,4,Sneha,,Finance approvals took longer than expected.,Information
6,5,Aman,,"Product-wise, we've released the new dashboard.",Information
7,5,Aman,,Users are responding positively.,Information
8,6,Ishita,,"Yes, although several users requested export-to-PDF functionality.",Information
9,7,Aditya,,Is that technically feasible?,Discussion
10,8,Aman,,"Yes, probably within the next sprint.",Discussion
11,9,Sneha,,Customer support tickets also decreased by around 18% this week.,Information
12,10,Aditya,,That's encouraging.,Discussion
13,11,Ishita,,Most remaining tickets are feature requests rather than bugs.,Information
14,12,Aditya,,Excellent.,Discussion
15,13,Let's prioritize,,Export to PDF.,Action_Item
16,13,Let's prioritize,,Mobile optimization.,Action_Item
17,13,Let's prioritize,,Analytics improvements.,Action_Item
18,13,Let's prioritize,,Meeting concluded after 28 minutes.,Summary
1,1,Kavya,,Hi everyone.,Information
2,1,Kavya,,Let's do a quick progress check before tomorrow's mentor meeting.,Information
3,2,Nikhil,,I've completed the data preprocessing scripts.,Information
4,3,Arjun,,Nice.,Discussion
5,3,Arjun,,Any missing values left?,Discussion
6,4,Nikhil,,Around 2%.,Information
7,4,Nikhil,,I'm handling them using median imputation.,Information
8,5,Pooja,,I've started exploratory data analysis.,Information
9,5,Pooja,,Some interesting correlations showed up.,Information
11,6,Kavya,,Can you prepare visualizations as well?,Action_Item
12,7,Pooja,,"Yes, by this evening.",Action_Item
13,8,Arjun,,I worked on the model pipeline yesterday.,Information
14,8,Arjun,,Random Forest is giving around 88% accuracy.,Information
15,9,Kavya,,Did you compare it with XGBoost?,Discussion
16,10,Arjun,,Not yet.,Information
17,11,Kavya,,Please do that before tomorrow.,Action_Item
18,12,Nikhil,,Should we also prepare a presentation?,Discussion
20,13,Kavya,,Our mentor prefers concise slides.,Information
21,14,Pooja,,I'll take care of the design.,Action_Item
22,15,Arjun,,I'll prepare the results section.,Action_Item
24,16,Kavya,,Let's review everything tomorrow morning before the meeting.,Summary
1,1,Aarav,36005.0,"Good morning, everyone.",Information
4,4,Priya,36015.0,"Morning, everyone.",Information
5,5,Ananya,36020.0,"Hi, everyone.",Information
6,6,Aarav,36030.0,Let's begin.,Information
7,6,Aarav,36030.0,Today's objective is to review the progress from last week's sprint and finalize the tasks for the upcoming release.,Information
8,7,Rahul,36055.0,"From the backend side, the transcript upload API has been completed.",Information
9,7,Rahul,36055.0,We also fixed the authentication issue that users reported last week.,Information
11,8,Aarav,36084.0,Were all the reported bugs resolved?,Discussion
12,9,Rahul,36095.0,Almost all of them.,Information
13,9,Rahul,36095.0,Two edge cases related to large file uploads are still pending.,Information
14,10,Aarav,36118.0,"Okay, we'll come back to those.",Decision
15,11,Neha,36135.0,The meeting summarization model is performing better after the latest prompt optimization.,Information
16,11,Neha,36135.0,Accuracy has improved during our internal evaluation.,Information
17,12,Aarav,36167.0,Did you test it on longer meeting transcripts?,Discussion
19,13,Neha,36178.0,"Meetings up to thirty minutes are working well, but summaries become slightly inconsistent for recordings longer than an hour.",Information
20,14,Priya,36215.0,Would chunking the transcript help?,Discussion
21,15,Neha,36229.0,"Yes, that's exactly what we're planning to test this week.",Action_Item
22,16,Aarav,36260.0,Good suggestion.,Discussion
23,17,Ananya,36270.0,"From the QA side, we've completed testing on Chrome and Edge browsers.",Information
24,18,Aarav,36295.0,Any issues?,Discussion
25,19,Ananya,36302.0,Nothing major.,Information
26,19,Ananya,36302.0,We noticed a small formatting issue in exported PDF reports.,Information
27,20,Priya,36328.0,I can fix that today.,Action_Item
29,22,Priya,36365.0,The dashboard redesign is almost complete.,Information
30,22,Priya,36365.0,I added a cleaner transcript viewer and improved the navigation menu.,Information
31,23,Rahul,36400.0,I saw the latest build yesterday.,Information
32,23,Rahul,36400.0,It definitely feels much smoother.,Discussion
33,24,Aarav,36425.0,Can we deploy the UI changes before Friday?,Discussion
34,25,Priya,36440.0,"Yes, provided no new bugs are found.",Decision
35,26,Ananya,36462.0,I'll finish regression testing by Thursday evening.,Action_Item
37,28,Rahul,36510.0,I also think we should optimize transcript loading because larger meetings take several seconds to open.,Discussion
38,29,Neha,36538.0,That's true.,Discussion
39,29,Neha,36538.0,We can implement lazy loading for transcript sections.,Discussion
40,30,Priya,36560.0,That should also improve scrolling performance.,Discussion
41,31,Aarav,36585.0,Let's include that in this sprint.,Decision
42,32,Aarav,36615.0,Any updates regarding multilingual support?,Discussion
43,33,Neha,36635.0,We've started testing English-Hindi mixed conversations.,Information
44,34,Rahul,36658.0,"Initial results look promising, although speaker separation still struggles when multiple people interrupt each other.",Information
45,35,Ananya,36700.0,I'll include those cases in the next testing cycle.,Action_Item
46,36,Aarav,36730.0,Good.,Discussion
47,37,Priya,36745.0,Can we also add a dark mode option in the next release?,Discussion
48,38,Rahul,36768.0,I'd recommend postponing it until after the performance improvements.,Discussion
50,39,Neha,36795.0,Performance should be our priority.,Discussion
51,40,Aarav,36815.0,Alright.,Decision
52,40,Aarav,36815.0,We'll move dark mode to the next sprint.,Decision
53,41,Aarav,36860.0,Let's assign responsibilities.,Decision
54,42,Rahul,36875.0,I'll optimize the transcript loading performance.,Action_Item
55,43,Priya,36898.0,I'll fix the PDF formatting issue and complete the dashboard redesign.,Action_Item
56,44,Neha,36928.0,I'll continue testing transcript chunking and multilingual summarization.,Action_Item
57,45,Ananya,36955.0,I'll complete regression testing and prepare the QA report.,Action_Item
59,47,Aarav,37000.0,Let's target Friday evening for code freeze.,Decision
60,48,Rahul,37018.0,That works for me.,Decision
61,49,Priya,37028.0,Same here.,Decision
62,50,Neha,37035.0,No issues from my side.,Information
63,51,Ananya,37045.0,Works for QA as well.,Decision
64,52,Aarav,37070.0,"Before we close, does anyone have any additional concerns?",Discussion
65,53,Rahul,37090.0,Nothing from my side.,Information
66,54,Priya,37098.0,All good.,Information
67,55,Neha,37105.0,No additional updates.,Information
68,56,Ananya,37120.0,Everything is covered.,Information
70,57,Aarav,37145.0,"Thanks, everyone.",Summary
71,57,Aarav,37145.0,We'll meet again next Monday to review the sprint outcomes.,Action_Item
72,58,Rahul,37165.0,Thank you.,Summary
74,60,Neha,37176.0,See you next week.,Summary
75,61,Ananya,37185.0,Bye.,Summary
43773,TS3008c,Speaker A,00:28:37,"Yeah, that's that's true, but but it has to be a little big solid. It mustn't be too, n you know, th too overwhelming, then when you put it on your just",Action_Item
4153,EN2004a,Speaker C,00:48:05,"Yeah, on this one. No, not not the other one, this one. Yeah.",Information
33844,IS1007d,Speaker D,00:26:32,"In the same set, yeah, and and individual buttons to make them work.",Discussion
9956,ES2004d,Speaker B,00:29:50,teamwork. Well you two created that wonderful specimen of a Play-Doh model.,Discussion
4510,EN2005a,Speaker D,01:07:45,Well how much AMI,Discussion
28241,IS1001c,Speaker C,00:10:25,"Alright, you won't yeah. Usually what I have noticed that people put the plastic cover on things that you normally don't mess with, like buttons for t tuning the channels and stuff like that. Yeah. That you want to protect a bit.",Discussion
19104,ES2015b,Speaker D,00:23:25,"Well I guess that's something we can all take back to our respective research. , and finally, whoops, my personal preferences and thoughts. , I think our priority really should be unique design. , we want something that people want in their home. Every remote control looks the same, so in my opinion it should be, , user-friendly and unique.",Discussion
20921,IB4001,Speaker B,00:17:09,I think the middle one.,Discussion
29660,IS1003c,Speaker C,00:03:36,"technology, such as speech recognition technology and gesture recognition technology, so we need to have coop some cooperation with some research institute on speech recognition and gesture recognition.",Action_Item
26148,IN1014,Speaker D,00:44:02,"Yeah. Well but there is no day to respect. It's just to know I mean and if you can have early early warnings in the sense that if you see that there is a major problem somewhere. But is just to know in the sense that really this p this mm thing has been stop now for quite a long time. it n it took a long time to decide what kind of material. Now we have it. It's something that is a pretty good idea. We see that other people are working, et cetera. We are going to lose it some way if if we don't put some and very honestly yeah.",Decision
49188,TS3012c,Speaker A,00:30:45,Would give us a light here. Maybe it's boring. You want it curved or what? Maybe you want,Discussion
35968,TS3003d,Speaker B,00:11:27,"You got not not a butt button itself, but on the",Discussion
10469,ES2005c,Speaker C,00:20:09,"a bit comfier, you know.",Discussion
39950,TS3006b,Speaker A,00:04:03,Yeah. this is you?,Information
41721,TS3007a,Speaker B,00:18:49,Is it possible to open pen drawings in this on this screen?,Information
2569,EN2002b,Speaker D,00:15:34,"Yeah. Yeah. Oh yeah, I guess that was the other thing whether we wanna have this reorder by columns and all that. But that's a hassle too. It's a lot of work.",Information
28689,IS1002b,Speaker A,00:32:50,"It i if it is gonna be somewhere that you put it down then it needs to be at the side of your armchair, and that implies that there's only one T_V_ user. So it's very good for some people but it's not a like",Information
24049,IN1005,Speaker C,00:13:53,This is a r like a real task. Like like if if if this directory company would like to extend this directory to new pages without the hassle of having human labelling.,Action_Item
7706,ES2002c,Speaker A,00:21:40,"Okay there's no restriction on the plastic, and it can't be curved on the wood. So that's again, I don't think you can use them in a combination, especially the titanium I I suspect they're very fixed to a particular need. So mixing them may not be a good idea yep. That's it.",Discussion
41379,TS3006d,Speaker C,00:36:09,How the We did we do that?,Discussion
3718,EN2003a,Speaker A,00:25:21,"for instance three people supervised by Bob Ladd, then it might be that then we are gonna have to contact Bob and say Bob, these three of your students are gonna be talking. presu presumably you want to be there. So can you give us a time that would be good for you? And then we can put them in a block at one time. 'Cause he says yeah, okay, Thursday afternoon I've got completely free. So I think we do need to stick everyone together, particularly if they've got the same supervisor. And it's also good if talks are on the same topic for a whole morning or a whole afternoon because then people will come along and go oh, this morning it's all on phonology or this morning it's all on applied linguistics. And then",Action_Item
34920,IS1009c,Speaker B,00:05:51,"Okay. Now the function of a remote is to send messages to the television. This messages could be switch on-off message or switch to next channel message or swapping the channels or switching onto a particular channel, like you can have the numbers one, two, three, four, up to nine.",Information
30611,IS1004b,Speaker B,00:17:35,"Yeah well we will have a bit of a simpler task in that we're only doing a television remote control. I think maybe one option is to have you know a little flip-open door that that you have hidden most of the time, but contains the extra buttons like, say, the number buttons for instance.",Action_Item
35374,TS3003a,Speaker A,00:20:15,maybe you have to say the magic word.,Discussion
36400,TS3004a,Speaker A,00:13:55,". so yeah, what what what's a remote control, it's just a black thing with some buttons on it, it's not nothing very special, but yeah, that's right.",Discussion
47182,TS3011a,Speaker A,00:06:06,"well, it it's on the eraser now, so we click the pen button.",Discussion
14873,ES2010b,Speaker A,00:11:22,"If it's within our price. Okay. Are we ready for our last presentation, Amber?",Information
9587,ES2004c,Speaker A,00:29:20,"This is central one, the one you yeah volume and channel. So keep that m that standardised because that's the most common feature across all models, if you look at all the models, it's here.",Information
33627,IS1007d,Speaker B,00:01:49,S so so I discussed with Guillaume.,Information
7031,EN2009d,Speaker A,00:52:37,"Yeah, but you can",Discussion
28893,IS1002c,Speaker D,00:17:45,Yeah yeah. I think it's that's right. I think so.,Discussion
6828,EN2009d,Speaker C,00:28:43,Yes. So if there if mm-hmm.,Discussion
13369,ES2008c,Speaker A,00:34:49,"Oh I di these are already in our shared folder, so.",Information
22495,IB4010,Speaker A,00:18:45,"Joe Pesci I think, maybe? I think yeah, on the right, and the guy on the left is Ray Liotta.",Information
40379,TS3006c,Speaker A,00:02:58,Yeah. Here we go again. Welcome. we have again three presentations and then we have to decide on what concepts the mobile phone has to f the remote control has to support. So who wants go.,Decision
35486,TS3003b,Speaker B,00:14:37,twenty Euros or less . So it's possible.,Discussion
1194,EN2001d,Speaker E,00:18:01,"it p it'd probably select it, yeah. It would make sense to do that.",Discussion
42338,TS3007c,Speaker A,00:35:06,Like a like a moat or s or something. Yeah.,Discussion
18594,ES2014d,Speaker D,00:20:52,Do you reckon a two?,Discussion
11091,ES2006b,Speaker D,00:11:15,"Okay, that's fine, that's good.",Discussion
41074,TS3006d,Speaker D,00:15:42,Yeah but that but that's the fun part of it.,Discussion
3217,EN2002d,Speaker A,00:08:45,It's just very quiet.,Discussion
12683,ES2007d,Speaker C,00:10:30,"It's ergonomic, but that's not that's that's a design that's a des that's a design thing, yeah.",Discussion
44774,TS3009a,Speaker C,00:19:11,A big recognisable button on top or something.,Information
31938,IS1005c,Speaker A,00:26:26,"Like doing a spongy layer of the banana, and you open it.",Discussion
46830,TS3010c,Speaker A,00:28:54,"So, after this meeting you have half an hour to fix it.",Information
25576,IN1013,Speaker A,00:13:56,"..No no. I think I think I think I think CELP or CELP or however you pronounce that. It's about forty eight hundred I think. Yeah. Well the standard's forty eight hundred or something, yeah. Yeah.",Discussion
28907,IS1002c,Speaker D,00:20:16,I don't see the necessity of an L_C_D_ either. Don't see it.,Discussion
20818,IB4001,Speaker B,00:09:01,"Well, the third option is just completely mix everyone up, which some people say is better sort of for a group environment, so that you are not stuck only with the people who are working on your project. Right. So if you share an office with someone who's on a completely different project, you find out about that project, but you also sort of interact with other people on a more regular basis.",Information
18960,ES2015a,Speaker A,00:17:06,Any ideas will do that you have at this point.,Action_Item
12648,ES2007d,Speaker A,00:05:57,"And the electronics, we decided on it being just a simple, the easiest",Decision
2338,EN2002a,Speaker B,00:31:10,"Next yeah, this Monday. Just",Information
39702,TS3006a,Speaker C,00:01:33,"Oh yeah, we have to talk in English, huh.",Information
14111,ES2009b,Speaker C,00:13:09,A little sticky pad to stick on top of your television. And you just say something to into that and it,Information
16736,ES2012c,Speaker A,00:19:03,"Fingers, yeah. I mean it's it's",Discussion
30680,IS1004b,Speaker B,00:30:53,"'Cause you can have things like the programme name instead of the channel numbers, like an interactive programme guide.",Discussion
28567,IS1002b,Speaker C,00:13:03,"Yeah, but it's not happen yet. Yeah.",Discussion
26850,IS1000b,Speaker A,00:10:00,"One thing it goes on to talk about, which is interesting, is the hang on a minute.",Information
22258,IB4005,Speaker B,00:27:40,Do you know if it's possible. Yeah.,Discussion
14044,ES2009a,Speaker A,00:22:41,"Right so let's go ahead and wrap that up here for now, I'm gonna put these initial ideas that we've got in the project documents, so if you guys wa need a reminder about what we've talked about the different you know kind of trade-offs that we've got and the other ideas, you can consult them at your leisure.",Information
35067,IS1009d,Speaker C,00:05:56,so this is our what we have made. This is a model of the remote control which we are going to build. this is us in a snail shape so it it is attractive and it's it's blue in colour bright and it has yellow buttons and all the different colour buttons so it is a a looks-wise it is beautiful. and also compact in shape. and also i it it will be easily fit into into the hands and you can access all the buttons easily.,Action_Item
23124,IB4011,Speaker D,00:30:33,"where th th th there's there is some information. At the bottom we can see that , do you know Mondre Montreux English Movie Club? I said that people can contact us to to get to the committee and select movies.",Information
46054,TS3009d,Speaker C,00:17:41,"Well you have to use the advanced chip, if you have the L_C_D_ screen.",Discussion
46169,TS3009d,Speaker C,00:24:26,"Its it's ridiculous actually, but",Discussion
44361,TS3008d,Speaker A,00:32:14,"Yeah, okay, you can also do that, but maybe",Discussion
8796,ES2003d,Speaker A,00:12:26,Mm-hmm I suppose o one thing that could be done is h is have it circular and have it s so that the the pink actually goes a bit over the pinkie finger. Mm. So that th,Information
40066,TS3006b,Speaker D,00:16:33,How do you mean?,Discussion
36477,TS3004a,Speaker D,00:21:01,"Yeah, it's also about strength and for everything .",Discussion
13998,ES2009a,Speaker D,00:16:50,"Well it's pretty much given it's gonna be universal right, we decided that already and it may be functioning for other things,",Decision
17736,ES2013d,Speaker A,00:26:09,So we need one of them.,Discussion
15942,ES2011c,Speaker C,00:15:11,But can't you just get,Discussion
7923,ES2002d,Speaker A,00:06:05,"Audio, we have like your basic y your base, your mid-range, your high range.",Discussion
4180,EN2004a,Speaker D,00:52:12,"So do we just open the file as we open the files for the first pass, like open up the sound file and then it sh",Discussion
31767,IS1005b,Speaker B,00:33:17,"and and it would probably be worth to to set the timing on the remote, no?",Discussion
20602,ES2016d,Speaker D,00:12:33,Okay. Are we technologically innovative?,Information
43223,TS3008b,Speaker A,00:15:12,"what the problem is. We haven't got remote controls for Well I think, yeah.",Information
32875,IS1006d,Speaker D,00:20:06,"It's flat, and curved.",Discussion
18693,ES2014d,Speaker B,00:29:08,Whatever fruit was in fashion next year.,Information
43805,TS3008c,Speaker C,00:30:26,"Yes, b bu but when we use s soft",Discussion
40274,TS3006b,Speaker D,00:34:02,"But we should place the screen on top, right?",Discussion
31313,IS1004d,Speaker D,00:18:46,"Six, so it's five point five, or less.",Discussion
373,EN2001a,Speaker D,00:53:34,"I'll see if I can S_C_P_ it, I suppose.",Discussion
41353,TS3006d,Speaker D,00:34:17,Where did we start with price? Twenty six and a half.,Discussion
37896,TS3004d,Speaker D,00:38:48,Four in a row.,Discussion
24352,IN1007,Speaker A,00:19:37,And the biggest problem currently is that the carrier is actually not cosine but something little bit more interesting.,Information
33018,IS1006d,Speaker B,00:28:36,"Not to waste time, that's important.",Information
26300,IN1016,Speaker A,00:15:09,If the speaker is actually talking about what is in the slides or not.,Information
31129,IS1004d,Speaker C,00:06:15,Yeah. And we have put these different colours so that people don't mistake them mistake it as a banana. Otherwise it's you know a child comes and so,Information
49426,TS3012d,Speaker A,00:12:42,This we discussed just now.,Information
20560,ES2016d,Speaker B,00:09:14,"It's very intuitive, I think yeah.",Discussion
23851,IN1002,Speaker B,00:28:19,"the paper was just for clean speech, but since I had the results before and I cannot copy these things, because I t I talked with Herve and he said okay, actually the numbers are not very reasonable because they are just thirteen P_L_P_ features and we have to have at least something which is known for people. I mean they are expecting something around ninety, eighty seven or something like this. so I anyway, I had to re to redo all the experiments, but now it's a little bit more difficult, because before I had posteriors and now we have two more steps, P_L_P_s and and and posteriors, so.",Information
6808,EN2009d,Speaker C,00:26:17,but number well the duration time as well somehow. Whether it's the average one or,Discussion
41512,TS3006d,Speaker A,00:45:20,Okay and was that due to my leadership?,Information
38168,TS3005b,Speaker D,00:13:57,"The last but not least, younger people are more critical about the features. Because they use the remote control often more often, and are more technical than the ol older people. And the older people spend more money, and easily on a remote control. So we have to keep in mind to to focus not a lot not that much on the younger pep younger people, but also somewhat on the elderly people. And on my personal preferences, I don't have any mo more time to come with that, but like I said, L_C_D_ screen is easily to use because you have you can implement a lot of buttons in one remote with not that much buttons.",Information
19875,ES2015d,Speaker B,00:28:49,The fruit and veg idea.,Discussion
42257,TS3007c,Speaker D,00:25:32,It automatically goes Yeah.,Discussion
49473,TS3012d,Speaker D,00:16:20,So it's a one or a I don't know.,Discussion
26454,IN1016,Speaker B,00:42:58,"Tables, number. , visual things. Well, that's for example with we submitted a project with J Jean-Marc to use that thing as meta-data. And basically one thing for example we're trying to do and and again, this is something that can fit, huh. It will be not maybe. But but if you get the project, et cetera in any case it's something that Jean-Marc and me we want to do. based on the kind of graphic object you have, so tables, questions, figures, plots, et cetera the side one for example, it is a result.",Summary
31075,IS1004d,Speaker A,00:00:25,Okay. Good afternoon again.,Discussion
11894,ES2006d,Speaker C,00:32:27,"I don't see why you can't stay here, really.",Discussion
23161,IB4011,Speaker B,00:33:41,"Well, at least voted for it.",Discussion
38284,TS3005b,Speaker C,00:23:40,"A sh but in a sub sub-menu or something like that. I think it's also important to make it possible to how do you call it in English, ,",Information
34183,IS1008b,Speaker A,00:21:14,"Yeah, so you are finish, Ed, so I can",Information
32856,IS1006d,Speaker A,00:19:13,"Yeah yeah, but the price is two. Oh, number. Sorry sorry sorry. I'm sorry.",Information
47814,TS3011c,Speaker C,00:28:44,"Yes, they can work. They cannot work with double-curved. That's that's problem. I'll check it for you.",Discussion
9083,ES2004a,Speaker C,00:06:18,"Okay, now I'm gonna have to change what is was originally gonna be because that looks like a beak now, so.",Information
19640,ES2015d,Speaker B,00:12:18,Yeah. Totally. It's really adaptable.,Discussion
31246,IS1004d,Speaker B,00:15:06,", okay, definitely easy to use.",Discussion
46176,TS3009d,Speaker A,00:24:53,"yeah well I think so also. I al I I've filled that in in a the questionnaires each time, so Well the managers were terrible.",Information
12262,ES2007b,Speaker A,00:26:23,"Not necessarily even if i it just has to ye but you have to look at the product and instantly know that it's one of our products as opposed to a Sony product or a, you know, a Panasonic product. It's got to so maybe, so you can have a look at our our other products and see if they all follow a s similar vein, perhaps.",Discussion
22708,IB4010,Speaker D,00:37:40,"So actually here you on this the first poster you can see the actors from the movie, I don't know if you know some of them, so Jeff Bridges at the top, Goodman is the second one, the b the big guy. Then Turturro, and the last one is Buscemi, and I don't remember the name of the girl.",Information
28115,IS1001b,Speaker A,00:30:09,Yeah. Because you have your previous channel button if you have incremental only it's not it isn't worth it because the previous channel is eith either minus one or plus one. So I think we need also digits. Maybe we we can make very obvious the channel and volume button button and smaller button down there with the the digits.,Information
22803,IB4010,Speaker C,00:46:16,"Yeah, and I would eliminate",Discussion
29757,IS1003c,Speaker B,00:10:26,"But I think that, you know, switching from one country to to another will be a problem, so although y y",Discussion
39601,TS3005d,Speaker D,00:37:35,"That's yeah, no prob. .",Discussion
