sentence_id,turn_id,speaker,timestamp,sentence,selected_label,notes
6,6,Rohan,39710,"Yes, customization would be useful.",Decision,
7,7,Simran,39740,Should summaries also include action items?,Discussion,
8,8,Rohan,39765,Definitely.,Decision,
9,9,Kunal,39785,We can also attach the transcript as a PDF.,Discussion,
10,10,Sneha,39810,That would improve usability.,Discussion,
11,11,Simran,39840,Do we need multilingual support?,Discussion,
12,12,Rohan,39860,Not in Phase 1.,Decision,
13,13,Simran,39885,"Okay, multilingual support will be moved to the next release.",Decision,
14,14,Kunal,39915,I'll implement automatic email delivery.,Action_Item,
15,15,Sneha,39938,I'll design the email template.,Action_Item,
16,16,Simran,39960,I'll prepare the requirement document.,Action_Item,
17,17,Rohan,39995,Perfect.,Summary,
18,18,Simran,40015,Today's decisions are finalized.,Summary,
19,19,Simran,40030,Meeting closed.,Summary,
1,1,Speaker 1,,That's great.,Discussion,
1,1,Rahul,,"Yeah, I checked it.",Information,
2,1,Rahul,,Overall it looks clean.,Discussion,
3,1,Rahul,,I just think the navigation bar is slightly crowded on smaller screens.,Discussion,
4,2,Priya,,That's fair.,Discussion,
5,2,Priya,,I can reduce the number of visible menu items and move the rest into a hamburger menu.,Action_Item,
6,2,Priya,,"[10:04 AM] Neha: From the backend side, we'll need to know which sections will pull dynamic data because that affects the APIs.",Discussion,
7,3,Aarav,,Good point.,Discussion,
8,3,Aarav,,"Rahul, which components are dynamic?",Discussion,
9,4,Rahul,,"The trending games section, user statistics, and recently played games.",Information,
10,5,Neha,,Perfect.,Discussion,
11,5,Neha,,I'll expose APIs for those this week.,Action_Item,
12,5,Neha,,[10:09 AM] Priya: What about the announcements banner?,Discussion,
13,5,Neha,,Should it rotate automatically?,Discussion,
14,6,Aarav,,"Yes, but let's keep the timing around five seconds.",Decision,
15,6,Aarav,,Users should also be able to pause it manually.,Decision,
16,7,Rahul,,"Accessibility-wise, that's a good idea.",Discussion,
17,7,Rahul,,"[10:14 AM] Neha: One concern—if we fetch too much data on page load, performance might suffer.",Discussion,
18,8,Rahul,,We can lazy-load sections below the fold.,Discussion,
19,9,Aarav,,Let's go with that.,Decision,
20,9,Aarav,,[10:18 AM] Priya: Should we include dark mode in the first release?,Discussion,
21,10,Rahul,,"Personally, I'd postpone it.",Discussion,
22,11,Neha,,Agreed.,Decision,
23,11,Neha,,Better to stabilize the main features first.,Discussion,
24,12,Aarav,,"Okay, dark mode moves to Phase 2.",Decision,
25,12,Aarav,,[10:25 AM] Aarav: Let's summarize.,Summary,
26,12,Aarav,,Homepage finalized.,Summary,
27,12,Aarav,,Dynamic APIs this week.,Summary,
28,12,Aarav,,Lazy loading for lower sections.,Summary,
29,12,Aarav,,Dark mode postponed.,Summary,
30,13,Meeting Ended,,10:32 AM,Summary,
1,1,Riya,,Thanks for joining everyone.,Information,
2,1,Riya,,"We're less than a month away from the tech fest, so today we need to lock the major responsibilities.",Information,
3,2,Karan,,"The auditorium booking is confirmed, but we still don't have approval for the seminar hall.",Information,
4,3,Mehul,,Does that affect the coding competition?,Discussion,
5,4,Karan,,Slightly.,Information,
6,4,Karan,,"If we don't get the seminar hall, we'll have to use two classrooms instead.",Discussion,
7,5,Simran,,"That's manageable, but we'll need to update the promotional posters.",Action_Item,
8,6,Riya,,Okay.,Discussion,
9,6,Riya,,What about sponsors?,Discussion,
10,7,Mehul,,I've spoken with four companies.,Information,
11,7,Mehul,,Two have already shown interest.,Information,
12,7,Mehul,,One of them wants branding on stage and social media mentions.,Information,
13,8,Simran,,That's reasonable.,Discussion,
14,8,Simran,,We usually offer that in our Gold Sponsor package.,Information,
15,9,Riya,,Great.,Discussion,
16,9,Riya,,Let's proceed.,Decision,
17,10,Karan,,We also need volunteers.,Information,
18,10,Karan,,Right now we only have 18 registrations.,Information,
19,11,Riya,,We need at least 35.,Decision,
20,12,Simran,,I'll post another recruitment announcement tonight.,Action_Item,
21,13,Mehul,,One more thing.,Discussion,
22,13,Mehul,,Should we arrange participant certificates digitally or printed?,Discussion,
23,14,Karan,,Digital would save both time and budget.,Discussion,
24,15,Riya,,Agreed.,Decision,
1,1,Vivek,,I've collected around 200 meeting transcripts.,Information,
2,2,Sana,,Are they cleaned?,Discussion,
3,3,Vivek,,Not completely.,Information,
4,3,Vivek,,Some still have filler words and timestamps.,Information,
5,4,Rohit,,"Actually, I think we should keep some filler words.",Discussion,
6,4,Rohit,,Real meetings aren't perfectly structured.,Discussion,
7,5,Ananya,,Exactly.,Discussion,
8,5,Ananya,,It'll help the model generalize better.,Information,
9,5,Ananya,,[3:06 PM] Sana: What about the output format?,Discussion,
10,7,I'm thinking,,Summary Key Decisions Action Items Participants,Discussion,
11,8,Ananya,,Sounds good.,Decision,
12,9,Vivek,,Should we fine-tune an existing model or use prompt engineering?,Discussion,
13,10,Rohit,,Initially prompt engineering.,Decision,
14,11,Sana,,Then later fine-tuning if needed.,Decision,
15,11,Sana,,[3:15 PM] Ananya: Dataset size?,Discussion,
16,12,Vivek,,"Currently around 90,000 words.",Information,
17,13,Ananya,,Let's target at least 300 transcripts.,Decision,
18,14,Everyone,,Agreed.,Decision,
1,1,Aditya,,Morning everyone.,Information,
2,1,Aditya,,Let's start with weekly updates.,Information,
3,2,Sneha,,Operations have been smooth except for delayed vendor payments.,Information,
4,3,Aditya,,Any reason?,Discussion,
5,4,Sneha,,Finance approvals took longer than expected.,Information,
6,5,Aman,,"Product-wise, we've released the new dashboard.",Information,
7,5,Aman,,Users are responding positively.,Information,
8,6,Ishita,,"Yes, although several users requested export-to-PDF functionality.",Information,
9,7,Aditya,,Is that technically feasible?,Discussion,
10,8,Aman,,"Yes, probably within the next sprint.",Discussion,
11,9,Sneha,,Customer support tickets also decreased by around 18% this week.,Information,
12,10,Aditya,,That's encouraging.,Discussion,
13,11,Ishita,,Most remaining tickets are feature requests rather than bugs.,Information,
14,12,Aditya,,Excellent.,Discussion,
15,13,Let's prioritize,,Export to PDF.,Action_Item,
16,13,Let's prioritize,,Mobile optimization.,Action_Item,
17,13,Let's prioritize,,Analytics improvements.,Action_Item,
18,13,Let's prioritize,,Meeting concluded after 28 minutes.,Summary,
1,1,Kavya,,Hi everyone.,Information,
2,1,Kavya,,Let's do a quick progress check before tomorrow's mentor meeting.,Information,
3,2,Nikhil,,I've completed the data preprocessing scripts.,Information,
4,3,Arjun,,Nice.,Discussion,
5,3,Arjun,,Any missing values left?,Discussion,
6,4,Nikhil,,Around 2%.,Information,
7,4,Nikhil,,I'm handling them using median imputation.,Information,
8,5,Pooja,,I've started exploratory data analysis.,Information,
9,5,Pooja,,Some interesting correlations showed up.,Information,
10,6,Kavya,,Great.,Discussion,
11,6,Kavya,,Can you prepare visualizations as well?,Action_Item,
12,7,Pooja,,"Yes, by this evening.",Action_Item,
13,8,Arjun,,I worked on the model pipeline yesterday.,Information,
14,8,Arjun,,Random Forest is giving around 88% accuracy.,Information,
15,9,Kavya,,Did you compare it with XGBoost?,Discussion,
16,10,Arjun,,Not yet.,Information,
17,11,Kavya,,Please do that before tomorrow.,Action_Item,
18,12,Nikhil,,Should we also prepare a presentation?,Discussion,
19,13,Kavya,,Definitely.,Decision,
20,13,Kavya,,Our mentor prefers concise slides.,Information,
21,14,Pooja,,I'll take care of the design.,Action_Item,
22,15,Arjun,,I'll prepare the results section.,Action_Item,
23,16,Kavya,,Perfect.,Summary,
24,16,Kavya,,Let's review everything tomorrow morning before the meeting.,Summary,
1,1,Aarav,36005,"Good morning, everyone.",Information,
2,2,Neha,36010,Morning.,Information,
3,3,Rahul,36012,Good morning.,Information,
4,4,Priya,36015,"Morning, everyone.",Information,
5,5,Ananya,36020,"Hi, everyone.",Information,
6,6,Aarav,36030,Let's begin.,Information,
7,6,Aarav,36030,Today's objective is to review the progress from last week's sprint and finalize the tasks for the upcoming release.,Information,
8,7,Rahul,36055,"From the backend side, the transcript upload API has been completed.",Information,
9,7,Rahul,36055,We also fixed the authentication issue that users reported last week.,Information,
10,8,Aarav,36084,That's great.,Discussion,
11,8,Aarav,36084,Were all the reported bugs resolved?,Discussion,
12,9,Rahul,36095,Almost all of them.,Information,
13,9,Rahul,36095,Two edge cases related to large file uploads are still pending.,Information,
14,10,Aarav,36118,"Okay, we'll come back to those.",Decision,
15,11,Neha,36135,The meeting summarization model is performing better after the latest prompt optimization.,Information,
16,11,Neha,36135,Accuracy has improved during our internal evaluation.,Information,
17,12,Aarav,36167,Did you test it on longer meeting transcripts?,Discussion,
18,13,Neha,36178,Yes.,Information,
19,13,Neha,36178,"Meetings up to thirty minutes are working well, but summaries become slightly inconsistent for recordings longer than an hour.",Information,
20,14,Priya,36215,Would chunking the transcript help?,Discussion,
21,15,Neha,36229,"Yes, that's exactly what we're planning to test this week.",Action_Item,
22,16,Aarav,36260,Good suggestion.,Discussion,
23,17,Ananya,36270,"From the QA side, we've completed testing on Chrome and Edge browsers.",Information,
24,18,Aarav,36295,Any issues?,Discussion,
25,19,Ananya,36302,Nothing major.,Information,
26,19,Ananya,36302,We noticed a small formatting issue in exported PDF reports.,Information,
27,20,Priya,36328,I can fix that today.,Action_Item,
28,21,Aarav,36340,Perfect.,Discussion,
29,22,Priya,36365,The dashboard redesign is almost complete.,Information,
30,22,Priya,36365,I added a cleaner transcript viewer and improved the navigation menu.,Information,
31,23,Rahul,36400,I saw the latest build yesterday.,Information,
32,23,Rahul,36400,It definitely feels much smoother.,Discussion,
33,24,Aarav,36425,Can we deploy the UI changes before Friday?,Discussion,
34,25,Priya,36440,"Yes, provided no new bugs are found.",Decision,
35,26,Ananya,36462,I'll finish regression testing by Thursday evening.,Action_Item,
36,27,Aarav,36495,Excellent.,Discussion,
37,28,Rahul,36510,I also think we should optimize transcript loading because larger meetings take several seconds to open.,Discussion,
38,29,Neha,36538,That's true.,Discussion,
39,29,Neha,36538,We can implement lazy loading for transcript sections.,Discussion,
40,30,Priya,36560,That should also improve scrolling performance.,Discussion,
41,31,Aarav,36585,Let's include that in this sprint.,Decision,
42,32,Aarav,36615,Any updates regarding multilingual support?,Discussion,
43,33,Neha,36635,We've started testing English-Hindi mixed conversations.,Information,
44,34,Rahul,36658,"Initial results look promising, although speaker separation still struggles when multiple people interrupt each other.",Information,
45,35,Ananya,36700,I'll include those cases in the next testing cycle.,Action_Item,
46,36,Aarav,36730,Good.,Discussion,
47,37,Priya,36745,Can we also add a dark mode option in the next release?,Discussion,
48,38,Rahul,36768,I'd recommend postponing it until after the performance improvements.,Discussion,
49,39,Neha,36795,I agree.,Discussion,
50,39,Neha,36795,Performance should be our priority.,Discussion,
51,40,Aarav,36815,Alright.,Decision,
52,40,Aarav,36815,We'll move dark mode to the next sprint.,Decision,
53,41,Aarav,36860,Let's assign responsibilities.,Decision,
54,42,Rahul,36875,I'll optimize the transcript loading performance.,Action_Item,
55,43,Priya,36898,I'll fix the PDF formatting issue and complete the dashboard redesign.,Action_Item,
56,44,Neha,36928,I'll continue testing transcript chunking and multilingual summarization.,Action_Item,
57,45,Ananya,36955,I'll complete regression testing and prepare the QA report.,Action_Item,
58,46,Aarav,36985,Perfect.,Discussion,
59,47,Aarav,37000,Let's target Friday evening for code freeze.,Decision,
60,48,Rahul,37018,That works for me.,Decision,
61,49,Priya,37028,Same here.,Decision,
62,50,Neha,37035,No issues from my side.,Information,
63,51,Ananya,37045,Works for QA as well.,Decision,
64,52,Aarav,37070,"Before we close, does anyone have any additional concerns?",Discussion,
65,53,Rahul,37090,Nothing from my side.,Information,
66,54,Priya,37098,All good.,Information,
67,55,Neha,37105,No additional updates.,Information,
68,56,Ananya,37120,Everything is covered.,Information,
69,57,Aarav,37145,Great.,Summary,
70,57,Aarav,37145,"Thanks, everyone.",Summary,
71,57,Aarav,37145,We'll meet again next Monday to review the sprint outcomes.,Action_Item,
72,58,Rahul,37165,Thank you.,Summary,
73,59,Priya,37170,"Thanks, everyone.",Summary,
74,60,Neha,37176,See you next week.,Summary,
75,61,Ananya,37185,Bye.,Summary,
76,62,Aarav,37195,Meeting adjourned.,Summary,
